Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
378.16,0.0066314,70.427,12.306,0.13127,0.11106,0.23643,0.22487,0.037262,0.038636,0.11112,0.051555,0.14323,1.0854345132765544
377.91,0.0067056,70.45,12.325,0.13127,0.11106,0.23677,0.22489,0.037233,0.038663,0.11113,0.051567,0.14326,1.0858552250134386
377.45,0.0065027,69.702,12.953,0.13115,0.11145,0.25119,0.22549,0.03674,0.03921,0.11151,0.051618,0.14396,1.102325975229272
385.11,0.0066193,70.393,11.972,0.13136,0.11086,0.25457,0.22455,0.037688,0.038366,0.11093,0.051487,0.14291,1.1027200505887405
376.63,0.0063546,69.636,13.213,0.13111,0.1116,0.25646,0.22573,0.036511,0.039408,0.11164,0.05166,0.14422,1.1083399195902832
372.01,0.0066267,69.908,12.661,0.13116,0.1113,0.26724,0.22523,0.036956,0.038844,0.11134,0.051538,0.14355,1.1171597593854472
371.24,0.0065391,70.157,13.303,0.13109,0.11164,0.26528,0.22584,0.0363,0.039419,0.11165,0.05173,0.14427,1.1172333162400383
371.45,0.0067483,70.218,13.317,0.1311,0.11165,0.272,0.22586,0.036275,0.039461,0.11166,0.051755,0.14432,1.1240834106140873
332.71,0.041093,74.206,11.102,0.13144,0.11059,0.28233,0.22378,0.037919,0.036982,0.10975,0.051779,0.14173,1.1263054457084558
381.18,0.0066046,71.942,11.792,0.13142,0.11067,0.28164,0.22438,0.037636,0.038132,0.11076,0.051612,0.14265,1.1288967279653195
