Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
838.81,0.5462,158.39,2.47,0.025545,0.025545262244721555
838.81,0.5462,158.39,2.47,0.025546,0.02554553825563084
838.81,0.5462,158.39,2.4699,0.025546,0.025545551877607424
838.81,0.54621,158.39,2.47,0.025546,0.02554567330585453
838.81,0.54619,158.39,2.4698,0.025546,0.025545689963591148
838.81,0.54619,158.39,2.4697,0.025546,0.02554576082073646
838.81,0.5462,158.39,2.4699,0.025546,0.025545803239602066
838.81,0.5462,158.39,2.4699,0.025546,0.02554583228869152
838.81,0.5462,158.39,2.4699,0.025546,0.02554584367419631
838.81,0.5462,158.39,2.4699,0.025546,0.025545885877724193
