Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
313.67,73.78,74.947,10.617,0.1323,0.11071,0.32605,0.22274,0.03924,0.032687,0.10913,0.050817,0.14127,1.1649495779517622
313.66,73.775,75.15,10.716,0.13233,0.11075,0.32727,0.22283,0.039044,0.0327,0.10922,0.050855,0.14138,1.1663806083647552
312.7,73.938,75.069,10.65,0.13232,0.11074,0.33143,0.22277,0.039165,0.032656,0.10915,0.050833,0.14126,1.1703130805869324
314.61,73.207,74.231,10.669,0.1323,0.11067,0.33165,0.22281,0.039144,0.03286,0.10926,0.05083,0.14156,1.1710924556354556
313.66,73.775,75.15,10.957,0.13238,0.11082,0.33158,0.22309,0.038569,0.032804,0.1095,0.05094,0.14179,1.1714742073690263
313.7,73.787,75.224,10.938,0.13237,0.11082,0.33196,0.22307,0.038608,0.032783,0.10947,0.050934,0.14174,1.1717663397354827
313.13,71.418,75.705,10.678,0.1323,0.11081,0.33465,0.22281,0.039087,0.032668,0.10916,0.050881,0.14113,1.1734893061939948
314.39,73.883,75.271,10.891,0.13236,0.1108,0.33431,0.22301,0.038709,0.032769,0.10942,0.050915,0.14168,1.1739712076428472
315.08,74.39,75.393,10.7,0.13232,0.11075,0.33662,0.2228,0.039092,0.032673,0.10919,0.050836,0.14136,1.175646683377398
316.2,74.338,74.296,10.702,0.13231,0.11066,0.33698,0.22282,0.039104,0.032879,0.10932,0.050821,0.14169,1.176560736330886
