Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
1653.2,0.00080398,183.47,5.6753,0.052524,0.12388,0.24455,0.061657,0.37619,0.14403,1.002833040975866
1679.3,0.00070979,186.27,5.493,0.052079,0.12492,0.24703,0.061714,0.372,0.14675,1.0044859051705688
1709.0,0.00074434,186.52,5.566,0.052217,0.12476,0.24636,0.061646,0.37415,0.14605,1.0051888300564382
1718.3,0.00070233,186.24,5.5259,0.052133,0.125,0.2475,0.0617,0.3722,0.14712,1.0056528918110488
1628.3,0.00070744,182.9,5.7185,0.052829,0.1234,0.24666,0.061902,0.37731,0.14527,1.007383717821989
1681.8,0.00068026,186.12,5.3691,0.051734,0.12559,0.24785,0.06172,0.37271,0.14795,1.007546061115307
1682.1,0.00071358,187.74,5.46,0.051991,0.1251,0.24694,0.061686,0.37584,0.14684,1.0084079905714203
1691.2,0.0006976,187.94,5.3216,0.051584,0.12591,0.24745,0.061658,0.37427,0.14791,1.0087886841233136
1691.2,0.0006976,187.94,5.3051,0.051535,0.12601,0.24746,0.061653,0.37458,0.14799,1.009219332958732
1691.7,0.00069582,187.94,5.2998,0.051521,0.12604,0.24751,0.061654,0.37464,0.14805,1.009418183751591
