Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g126),Error (g237),Error (g56),Error (curve),Error (g80),Error (g262),Error (g72),Error (g223),Error (g51),Reduced Error
983.64,37.691,71.04,1.9036,0.077783,0.14459,0.097497,0.63198,0.22845,0.10832,0.094661,0.15669,0.1542,1.6941635291184638
972.11,661.39,50.584,1.4522,0.11749,0.17962,0.12335,0.47444,0.22626,0.12498,0.156,0.17094,0.19276,1.765853696696182
997.79,98.105,61.508,2.4688,0.067112,0.14288,0.086728,0.71225,0.23095,0.10792,0.15707,0.1494,0.14654,1.800854685079584
90.162,339.17,78.363,7.2334,0.026448,0.092548,0.048436,0.88443,0.27309,0.1341,0.074644,0.1353,0.13844,1.8074352041565098
850.15,626.08,51.982,1.2214,0.12509,0.18311,0.12972,0.52879,0.2266,0.12874,0.13009,0.17421,0.19965,1.826008572223323
831.45,70.48,64.838,2.4958,0.06303,0.13705,0.086645,0.79154,0.23237,0.10842,0.13288,0.14845,0.14478,1.8451595873147435
970.87,654.93,50.449,2.1802,0.094205,0.16824,0.1055,0.61323,0.22788,0.11732,0.19744,0.16226,0.17378,1.8598498633944813
705.15,43.602,73.25,1.5606,0.082608,0.14951,0.10417,0.73074,0.22785,0.11373,0.13248,0.16027,0.16366,1.8650165713882174
187.33,82.361,80.832,3.7043,0.027599,0.11013,0.048932,0.96326,0.24518,0.11771,0.085417,0.13244,0.13687,1.8675378520945929
818.46,516.54,50.852,1.0951,0.12758,0.18404,0.13109,0.56189,0.22638,0.13,0.13141,0.17505,0.20158,1.869027045294766
