Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
542.28,0.10116,263.69,400.6,317.55,28.959,84.849,1.7619,0.21697,0.1216,0.085611,0.35294,0.046846,0.099221,0.10305,0.12223,0.14185,1.2903174240310205
542.28,0.10116,263.69,374.61,317.55,28.959,84.849,1.7619,0.21697,0.12156,0.085633,0.38397,0.046924,0.099038,0.10289,0.12208,0.14185,1.3209214937821938
544.16,0.094491,263.87,284.87,317.54,28.428,84.743,1.7938,0.21692,0.12137,0.085184,0.42974,0.047122,0.098599,0.10152,0.12148,0.14179,1.3637304822540894
545.08,0.093739,266.4,285.34,317.48,28.066,84.712,1.7867,0.21694,0.12138,0.085281,0.43036,0.047124,0.098525,0.1016,0.12151,0.14179,1.3645086142966263
592.11,0.097944,266.09,283.97,317.54,25.643,84.743,1.7939,0.217,0.12122,0.086165,0.43017,0.047161,0.098493,0.10221,0.12168,0.14187,1.3659686610204083
592.11,0.097944,266.09,283.97,322.97,25.643,84.743,1.7939,0.21701,0.12124,0.086275,0.43412,0.047216,0.09848,0.10218,0.12166,0.14193,1.370114109213093
542.28,0.026028,263.91,374.58,318.28,28.87,86.503,1.4955,0.21682,0.12147,0.090031,0.43887,0.046295,0.098663,0.10581,0.12426,0.14195,1.3841681432987096
544.16,0.075036,261.47,284.68,317.53,28.562,84.74,1.7077,0.21693,0.12142,0.086712,0.44729,0.047104,0.09825,0.10275,0.1219,0.14189,1.384249502142106
594.52,0.16498,266.18,364.57,320.46,26.789,84.774,1.9337,0.21704,0.12135,0.083887,0.45393,0.047105,0.099411,0.1014,0.1214,0.14179,1.387313981225652
590.57,0.097816,154.74,285.81,311.85,28.442,84.684,2.0238,0.21674,0.12167,0.084541,0.47902,0.047428,0.10087,0.10151,0.12028,0.14183,1.4138798420495038
