Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g164),Error (g185),Error (curve),Error (g238),Error (g223),Error (g50),Error (g138),Error (g39),Error (g243),Reduced Error
0.45542,0.00012353,0.04223,1.7872,0.24742,0.084609,0.66988,0.19061,1.1067,0.52727,0.22759,0.068783,0.05575,3.178626053754861
44.417,0.95719,13.159,1.8239,0.17736,0.063258,1.5203,0.16447,0.66605,0.30067,0.1415,0.081299,0.071014,3.185973178651312
0.44375,0.00012307,0.042325,1.7938,0.24803,0.084672,0.56465,0.19077,1.2341,0.53066,0.22824,0.068777,0.055917,3.2057800787195725
1890.4,0.070052,14.059,4.661,0.14476,0.066085,2.2394,0.15213,0.29667,0.10337,0.12548,0.10736,0.052879,3.288144790644435
42.585,0.97797,13.27,1.7671,0.17778,0.062789,1.3785,0.16441,0.97269,0.29778,0.14151,0.081595,0.070068,3.347079221072203
0.33509,0.00011481,0.030634,1.7824,0.25038,0.083526,0.72561,0.19277,1.2177,0.56646,0.2304,0.070081,0.058815,3.395758435759231
43.934,0.96965,13.441,1.9043,0.17558,0.06335,1.3368,0.16448,1.0708,0.2978,0.14161,0.081412,0.071246,3.4030262007103644
43.568,0.95307,13.637,1.8431,0.17717,0.062579,1.7043,0.1644,0.71447,0.29585,0.14147,0.081696,0.069801,3.411692317693352
45.718,0.93373,13.465,1.8633,0.17749,0.062879,1.3302,0.16442,1.12,0.29919,0.1414,0.081409,0.070468,3.447462751869348
43.302,0.97413,13.104,1.8111,0.17701,0.063345,1.4678,0.16448,0.98215,0.30011,0.14154,0.081337,0.071105,3.4488762972370854
