Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
558.4,403.02,50.118,217.28,117.65,173.53,62.584,10.966,0.12061,0.27074,0.13241,0.11418,0.18108,0.024834,0.027501,0.099807,0.11786,1.0890208892615751
560.1,403.65,46.252,234.21,115.94,137.58,62.657,10.93,0.12103,0.27025,0.13253,0.11161,0.18624,0.024509,0.02695,0.10032,0.11823,1.0916677880090333
560.11,403.34,43.147,234.21,116.06,137.29,62.666,10.89,0.12107,0.27019,0.13275,0.11111,0.18636,0.024558,0.026897,0.10062,0.11853,1.0920952013385883
560.04,411.05,46.106,232.81,116.02,136.48,62.911,10.886,0.12095,0.27029,0.13256,0.11146,0.18725,0.024608,0.026956,0.10029,0.11835,1.0927126735519408
560.05,403.62,49.943,217.26,117.83,184.2,62.586,11.028,0.12057,0.27075,0.13237,0.11489,0.18439,0.024888,0.027682,0.099777,0.11751,1.0928230279951556
560.7,403.88,44.787,234.5,118.96,135.99,62.787,10.931,0.121,0.2702,0.1325,0.11096,0.20371,0.024485,0.026876,0.10047,0.11871,1.108911351091624
560.12,406.99,46.469,234.21,115.95,133.13,63.211,10.935,0.12102,0.27024,0.13244,0.11171,0.20508,0.024496,0.026941,0.10027,0.11831,1.1105068245071608
559.75,403.72,47.681,232.62,116.84,134.2,62.644,10.93,0.121,0.27032,0.1324,0.1119,0.20802,0.024486,0.0269,0.10017,0.11844,1.113640090403385
560.11,403.69,42.448,235.64,115.96,143.27,62.535,11.106,0.12108,0.27029,0.13263,0.11167,0.21029,0.024564,0.027063,0.10042,0.11772,1.1157361066847447
556.2,401.77,46.103,241.8,115.82,142.81,62.868,10.93,0.12103,0.26994,0.13236,0.11188,0.21201,0.024342,0.027043,0.10035,0.11761,1.116564166387056
