Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g86),Error (g59),Error (g237),Error (curve),Error (g303),Reduced Error
239.74,247.89,64.463,15.775,4.9311e-05,0.13127,0.05603,0.063257,0.0876,0.26746,0.069391,0.6750016903404457
238.85,244.85,64.613,15.669,4.9588e-05,0.1312,0.056021,0.063289,0.087592,0.2676,0.069358,0.675055543505155
239.44,247.87,64.881,15.815,5.0194e-05,0.13124,0.056044,0.06326,0.087755,0.26757,0.069258,0.675123915109116
237.77,244.93,64.983,15.669,4.9374e-05,0.13109,0.056011,0.063305,0.087627,0.26914,0.069301,0.676472730414485
241.29,248.9,64.557,15.667,5.2025e-05,0.13136,0.056028,0.063311,0.087867,0.27223,0.069249,0.6800433859147136
240.93,231.35,64.483,15.662,4.9369e-05,0.13143,0.05613,0.063163,0.087184,0.2742,0.069523,0.681628640801458
241.72,228.8,65.428,15.669,5.2763e-05,0.13147,0.056184,0.06317,0.087564,0.27719,0.069201,0.6847798331860567
242.33,228.72,65.476,15.67,5.2809e-05,0.13149,0.056188,0.063161,0.08754,0.27736,0.069218,0.684959023163725
238.92,233.3,65.442,15.667,5.1477e-05,0.13126,0.05612,0.063231,0.087632,0.27903,0.069173,0.6864434523903017
236.48,245.62,64.359,15.668,4.9298e-05,0.13112,0.055999,0.063327,0.087681,0.2797,0.069301,0.6871322577374528
