Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
375.76,0.021985,82.78,2.8882,0.044494,0.097744,0.063542,0.13758,0.22321,0.088268,0.24411,0.11563,0.11468,1.1292443615098287
376.47,0.023017,82.323,2.8948,0.044506,0.097793,0.063312,0.13753,0.22319,0.08812,0.25848,0.11565,0.11466,1.1432408370293108
377.18,0.021942,82.231,2.9015,0.044518,0.097785,0.063114,0.13749,0.22317,0.087997,0.26923,0.11568,0.11464,1.153626500498184
374.89,0.010158,85.779,2.8682,0.044459,0.097209,0.064233,0.13778,0.22329,0.088773,0.30636,0.11562,0.11456,1.1922733629112563
377.37,0.19802,81.202,2.8697,0.044696,0.098173,0.064648,0.13764,0.22334,0.088932,0.31786,0.11552,0.11493,1.205743859678789
381.02,0.022432,82.001,2.8228,0.04429,0.097643,0.065345,0.13795,0.2234,0.089498,0.3256,0.11529,0.11503,1.214040493098216
366.94,0.80766,81.146,2.8061,0.044849,0.097911,0.066623,0.13801,0.22362,0.090308,0.36502,0.11545,0.11494,1.2567348052978884
378.01,0.024932,83.401,2.9442,0.044615,0.097873,0.062161,0.13729,0.22304,0.087338,0.38226,0.11585,0.1145,1.2649301247756095
374.38,0.022573,78.909,2.9378,0.044638,0.098068,0.061605,0.1372,0.2231,0.086996,0.3911,0.11588,0.11444,1.2730284650803796
438.41,8.4989,86.07,2.2127,0.043905,0.099646,0.089275,0.14331,0.2269,0.10558,0.34438,0.11445,0.11863,1.286068799818074
