Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g59),Error (g63),Error (g86),Error (g303),Error (g237),Reduced Error
931.04,0.27558,128.07,4.7447,0.13289,0.070008,0.1333,0.054963,0.05581,0.10407,0.5510351462450666
933.34,0.27508,128.02,4.7448,0.1337,0.07,0.13331,0.054963,0.055814,0.10406,0.5518408061379128
930.95,0.27729,127.68,4.7589,0.13591,0.069964,0.13327,0.054942,0.05586,0.1039,0.5538467086182742
933.35,0.27413,128.04,4.7295,0.13702,0.070028,0.13335,0.054981,0.055767,0.10422,0.5553664468871389
922.69,0.27916,128.43,4.6727,0.14049,0.070099,0.13352,0.055072,0.055602,0.10479,0.5595729865481067
933.56,0.27727,127.97,4.739,0.14221,0.069984,0.13335,0.054979,0.055806,0.1041,0.560428832375895
930.29,0.27455,127.8,4.729,0.14328,0.070035,0.13335,0.054978,0.055764,0.10422,0.5616174286788688
931.01,0.28069,126.96,4.7622,0.14679,0.069914,0.13332,0.054942,0.055893,0.10382,0.564682856284533
927.75,0.27948,128.01,4.7462,0.14803,0.069984,0.13331,0.05497,0.055823,0.10403,0.5661426028630973
908.79,0.27489,129.62,4.7425,0.1482,0.070156,0.13309,0.054941,0.055733,0.10421,0.5663189564393264
