Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (curve),Error (g59),Error (g303),Error (g237),Error (g86),Error (g63),Reduced Error
0.11064,7.5746e-10,8.5475,8.746,8.3226e-09,0.45541,0.023022,0.026535,0.038297,0.011437,0.2903,0.14083334346596613
96.612,687.49,384.39,1.0155,7.9911e-05,0.37772,0.018688,0.028152,0.045348,0.039089,0.34955,0.14309203554350156
92.951,774.51,378.92,1.0234,7.9288e-05,0.38397,0.018678,0.028152,0.045332,0.039036,0.34935,0.14408662523537993
92.823,750.5,378.67,1.0234,7.9532e-05,0.38408,0.018684,0.028148,0.045334,0.039022,0.34937,0.14410622072916332
92.219,755.5,378.08,1.027,8.0244e-05,0.3909,0.018685,0.028144,0.045331,0.038999,0.34933,0.14523226220315627
3.6058,0.8218,31.127,1.0007,1.9026e-06,0.4271,0.021191,0.024985,0.043076,0.020445,0.33486,0.1452763203278897
89.052,751.12,373.56,1.0346,8.0269e-05,0.39401,0.018695,0.028129,0.045323,0.038903,0.34922,0.14571404982093042
81.137,785.37,378.5,1.0291,7.9591e-05,0.39467,0.018698,0.028138,0.045326,0.038932,0.34916,0.1458196693468849
93.171,759.55,380.02,1.0374,8.1671e-05,0.39663,0.018681,0.02814,0.04532,0.038961,0.34922,0.1461600048883889
92.471,736.48,382.28,1.0088,7.875e-05,0.39814,0.018685,0.02816,0.045351,0.039122,0.34955,0.14650119997244912
