Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g63),Error (g303),Error (curve),Error (g86),Error (g237),Reduced Error
72.475,0.073534,38.435,2.754,0.084321,0.14169,0.070552,0.58957,0.059836,0.082958,1.0289270872183995
70.495,0.073237,39.799,2.7645,0.083995,0.14139,0.069782,0.59648,0.059623,0.083646,1.0349150990020641
73.03,0.077204,38.523,2.7606,0.084611,0.14092,0.070891,0.59628,0.059777,0.08252,1.0350000510739301
73.946,0.073947,39.11,2.7389,0.084191,0.14191,0.070252,0.60961,0.059762,0.083292,1.0490132665953642
73.079,0.078652,37.588,2.7011,0.085381,0.14094,0.071696,0.6175,0.060058,0.081813,1.057392747539068
72.738,0.074938,37.796,2.6561,0.085241,0.14193,0.071248,0.61834,0.06014,0.082403,1.0593021122841835
73.034,0.078672,37.14,2.7002,0.085513,0.14094,0.071965,0.61943,0.060142,0.081565,1.0595598888337119
75.346,0.074218,38.05,2.6256,0.085123,0.1427,0.071029,0.62129,0.060156,0.082753,1.0630540536406194
74.418,0.080455,37.333,2.6457,0.085907,0.14108,0.072132,0.63502,0.060212,0.081475,1.0758284556202706
71.252,0.0786,37.222,2.7334,0.085385,0.14051,0.071846,0.64218,0.060068,0.081579,1.0815622876091113
