Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g185),Error (g238),Error (g164),Error (g243),Error (g50),Error (g138),Error (g223),Error (curve),Reduced Error
3699.3,0.053526,303.99,18.283,0.096726,0.069494,0.15606,0.13861,0.062,0.12294,0.13013,0.21859,1.3696,2.3641001481119317
44.84,6.4032,2.9865,19.235,0.090448,0.069344,0.16503,0.16152,0.066169,0.25996,0.13343,0.61668,0.82578,2.388357741840436
862.82,0.15001,259.0,11.89,0.0876,0.076138,0.15935,0.14486,0.058586,0.15417,0.12243,0.8618,0.88346,2.5483970206310618
33.282,2.6882,16.381,17.284,0.076725,0.075071,0.16789,0.16943,0.063855,0.2982,0.12906,0.47275,1.1255,2.578435367490989
400.47,0.10995,167.86,17.121,0.079179,0.08111,0.16306,0.15815,0.061149,0.21016,0.14543,1.2198,0.46203,2.5800194833713657
262.17,0.28679,161.57,12.387,0.077974,0.083641,0.16389,0.157,0.057627,0.21438,0.12727,0.93931,0.76496,2.5860557974075125
912.52,0.14226,306.44,11.821,0.088636,0.071956,0.15881,0.14198,0.059502,0.14858,0.12288,1.1944,0.63464,2.621407841467966
197.95,1.2117,146.39,8.2249,0.088345,0.085156,0.16514,0.14842,0.057306,0.2072,0.12784,1.2247,0.581,2.6851114967695717
195.24,1.276,147.12,8.1231,0.088717,0.084935,0.16524,0.14808,0.057425,0.20751,0.12803,1.24,0.56641,2.686397196028145
356.08,0.10651,206.84,16.98,0.078834,0.07641,0.16323,0.15641,0.062514,0.21308,0.14021,1.1804,0.61824,2.6893022371963013
