Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
421.35,646.76,86.626,2.0755,4.5744e-05,0.33513,0.077103,0.036938,0.039377,0.26223,0.041418,0.1320325052329137
420.9,648.41,86.401,2.0768,4.5401e-05,0.33514,0.077085,0.036917,0.039369,0.2623,0.041386,0.1320333876156578
420.96,648.43,86.436,2.0784,4.5383e-05,0.3351,0.077061,0.036899,0.039358,0.26309,0.041349,0.13214146790153744
415.67,607.18,85.438,2.0106,4.0478e-05,0.33715,0.078017,0.037567,0.039827,0.26551,0.042704,0.13346286265698518
415.71,603.87,85.684,2.0006,3.9634e-05,0.33745,0.078159,0.037667,0.039896,0.26504,0.042912,0.13352127077193404
401.4,647.14,86.404,2.0874,4.4699e-05,0.33459,0.077009,0.036823,0.03938,0.27366,0.041101,0.13376031359573312
413.47,607.7,85.558,2.0067,4.0455e-05,0.33721,0.07809,0.03762,0.039865,0.26877,0.042796,0.13405915276762978
419.1,646.25,86.362,2.0654,4.5285e-05,0.33542,0.077263,0.037048,0.039455,0.27429,0.041642,0.13418534620843148
409.31,694.38,85.027,2.0257,3.9922e-05,0.33693,0.07794,0.037453,0.039787,0.27152,0.042596,0.13437244331228393
414.84,649.89,86.157,2.0785,4.5451e-05,0.33503,0.07709,0.036908,0.039384,0.2766,0.041345,0.13439308406385594
