Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g59),Error (g63),Error (g86),Error (g303),Error (g237),Reduced Error
163.09,1.209,314.81,1.0932,0.74719,0.086539,0.10757,0.045631,0.061319,0.13037,1.1786291735074579
163.07,1.2279,315.21,1.1173,0.75237,0.086334,0.10729,0.045675,0.061116,0.1298,1.1825841774165977
163.84,1.1985,315.8,1.1018,0.7538,0.086459,0.10755,0.045639,0.061173,0.13017,1.1847969430909036
164.14,1.1839,310.38,1.0976,0.7594,0.086534,0.10761,0.045636,0.060993,0.13005,1.190226307338161
165.7,1.1571,304.89,1.0045,0.76227,0.087445,0.10877,0.045503,0.061982,0.13258,1.1985441453808612
163.28,1.204,323.78,1.1018,0.76896,0.086408,0.10755,0.045633,0.061422,0.13044,1.2004134643815143
162.1,1.2678,315.75,1.0245,0.77063,0.087102,0.10823,0.045557,0.062594,0.13252,1.206633635663421
167.37,1.1798,303.16,1.0265,0.77207,0.08722,0.10859,0.045538,0.06171,0.13206,1.2071845401404775
164.06,1.1495,304.9,1.0312,0.77498,0.08719,0.10836,0.045532,0.061554,0.13162,1.2092409772889163
165.07,1.1673,314.1,1.1845,0.79016,0.085833,0.1068,0.045781,0.059965,0.12784,1.2163841010871734
