Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (curve),Error (g237),Error (g86),Error (g303),Error (g59),Error (g63),Reduced Error
309.03,19.329,6.6254,6.2114,4.3252e-08,0.30781,0.057858,0.033776,0.028927,0.030666,0.29102,0.12501036354243777
290.06,48.925,6.5907,6.3315,4.3215e-08,0.35153,0.057576,0.032982,0.028544,0.030776,0.28938,0.13179896555455137
292.55,48.888,6.6054,6.3504,4.4895e-08,0.35849,0.057395,0.032796,0.028483,0.030737,0.28929,0.13286648176474805
292.17,48.542,6.5901,6.4208,4.3896e-08,0.36783,0.057477,0.032948,0.028524,0.030734,0.28927,0.13446465752534376
279.07,30.255,6.5875,6.3154,4.3291e-08,0.3797,0.0576,0.033008,0.028689,0.030746,0.28923,0.1364958183625249
281.13,48.548,5.8187,5.4412,4.118e-08,0.37823,0.05765,0.032383,0.02837,0.031026,0.29141,0.13651070050348016
322.64,21.614,6.5352,6.2434,4.1401e-08,0.39068,0.057989,0.034051,0.028923,0.030696,0.29137,0.13895131073977554
276.94,47.997,6.5504,6.3163,4.3535e-08,0.4082,0.057469,0.032726,0.028511,0.030795,0.28895,0.1411081159804022
293.08,65.386,6.7722,6.3325,4.3952e-08,0.4079,0.057789,0.033116,0.028541,0.0308,0.28946,0.14126782282139214
274.68,56.888,6.4805,6.2881,4.2151e-08,0.41364,0.057671,0.032857,0.028527,0.03084,0.2891,0.14210601001176068
