evals,errors
1000,0.2026708535581917
2000,0.15081209235380197
3000,0.15081209235380197
4000,0.15081209235380197
5000,0.15081209235380197
6000,0.15081209235380197
7000,0.15081209235380197
8000,0.1469717772566358
9000,0.1469717772566358
10000,0.1469717772566358
11000,0.1469717772566358
12000,0.1469717772566358
13000,0.1469717772566358
14000,0.1469717772566358
15000,0.1469717772566358
16000,0.14552645787001636
17000,0.14552645787001636
18000,0.14511174000039223
19000,0.14511174000039223
20000,0.1411081159804022
21000,0.1364958183625249
22000,0.1364958183625249
23000,0.13179896555455137
24000,0.13179896555455137
25000,0.13179896555455137
26000,0.13179896555455137
27000,0.13179896555455137
28000,0.13179896555455137
29000,0.13179896555455137
30000,0.13179896555455137
31000,0.13179896555455137
32000,0.13179896555455137
33000,0.13179896555455137
34000,0.13179896555455137
35000,0.13179896555455137
36000,0.13179896555455137
37000,0.13179896555455137
38000,0.13179896555455137
39000,0.13179896555455137
40000,0.13179896555455137
41000,0.13179896555455137
42000,0.13179896555455137
43000,0.13179896555455137
44000,0.13179896555455137
45000,0.13179896555455137
46000,0.13179896555455137
47000,0.13179896555455137
48000,0.13179896555455137
49000,0.12501036354243777
50000,0.12501036354243777
