param_type,param_name,out_u_bound,in_u_bound,base,in_l_bound,out_l_bound
input,cp_lh_0,1,2.899968159325789,10,0.8709420500605297,0
input,cp_lh_1,1,2.900831220613281,10,1.237945676609235,0
input,cp_tau_0,1,2.599063905879417,10,0.9934185938153659,0
input,cp_n,1,1.1922328229242767,10,0.12142851836796285,0
input,cp_gamma_0,1,-4.0095989807174535,10,-5.587539452570038,0
input,average_strain,1,-1.0029764073527043,10,-2.5782315987930757,0
output,average_stress,1,3.389609016051986,10,1.8039212076052247,0
output,g207_phi_1,1,0.30037806487070257,10,0.2948188094826865,0
output,g207_Phi,1,0.27845635039420896,10,0.26686644122118086,0
output,g207_phi_2,1,0.5819837728607398,10,0.5794405971397972,0
output,g79_phi_1,1,-0.05141589331939976,10,-0.07246026434352645,0
output,g79_Phi,1,0.3310424362937818,10,0.325618272810029,0
output,g79_phi_2,1,0.48528123193559686,10,0.47814787064327346,0
output,g164_phi_1,1,-0.48795631373219356,10,-0.6041321687660117,0
output,g164_Phi,1,0.36240706985786864,10,0.3592471744896942,0
output,g164_phi_2,1,0.5329453756159249,10,0.5203787129775598,0
output,g167_phi_1,1,0.12859310691870485,10,0.1016439854903131,0
output,g167_Phi,1,0.4034465487758765,10,0.3989637361255204,0
output,g167_phi_2,1,0.4813709568325486,10,0.4735745500363443,0
output,g309_phi_1,1,0.3154035046343509,10,0.3130653548135105,0
output,g309_Phi,1,0.37073508371583197,10,0.3591901991558108,0
output,g309_phi_2,1,0.6130803468442194,10,0.6097437723029848,0
