Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
933.95,2.7145,192.24,1.9024,0.0,0.0
897.74,2.7201,188.95,1.8605,0.0,0.0
902.74,2.6924,188.29,1.8875,0.0,0.0
921.01,2.7728,190.27,1.902,0.0,0.0
897.58,2.7213,186.85,1.8905,0.0,0.0
887.9,2.7326,188.59,1.9213,0.0,0.0
907.04,2.7146,190.4,1.8768,0.0,0.0
917.77,2.7889,186.69,1.9215,0.0,0.0
896.01,2.7501,189.13,1.8246,0.0,0.0
915.45,1.7297,195.64,2.3115,0.0,0.0
