Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1892.9,0.17747,152.11,5.8157,0.12923,0.10063,0.061254,0.034759,0.1109,0.29158,0.13384,0.21849,0.047026,1.1277172560221198
1887.4,0.17735,152.5,5.8436,0.1293,0.10069,0.06108,0.034617,0.11089,0.29175,0.13382,0.2185,0.04707,1.127724133073913
1893.6,0.17689,152.49,5.8162,0.12921,0.10064,0.061256,0.034737,0.11091,0.29177,0.13383,0.2185,0.04705,1.1278969294098158
1892.0,0.17761,152.13,5.8086,0.12921,0.10062,0.061298,0.034792,0.1109,0.29181,0.13384,0.21849,0.047021,1.1279904157431864
1892.9,0.17769,152.21,5.8155,0.12923,0.10062,0.061263,0.034767,0.1109,0.292,0.13384,0.21849,0.047022,1.12814243456857
1892.5,0.17764,152.05,5.7704,0.12909,0.10056,0.061536,0.034965,0.11092,0.29232,0.13385,0.2185,0.046994,1.1287425656576366
1891.6,0.17808,151.84,5.7914,0.12918,0.10058,0.061403,0.034885,0.1109,0.29264,0.13385,0.21849,0.046992,1.1289374179752891
1862.9,0.17956,152.47,5.8345,0.12932,0.10068,0.061102,0.034661,0.11087,0.29313,0.13382,0.21851,0.04706,1.12915344713341
1895.4,0.17733,151.94,5.7742,0.1291,0.10056,0.06151,0.034946,0.11092,0.29282,0.13385,0.2185,0.046996,1.129210598970259
1883.9,0.17825,151.9,5.7995,0.12921,0.10061,0.061337,0.034832,0.11089,0.29303,0.13385,0.2185,0.047012,1.1292616429943072
