Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
1164.2,0.29863,160.46,3.055,0.15117,0.24833,0.25039,0.095202,0.1791,0.17962,0.070476,0.15455,0.10131,1.430154795683824
1166.4,0.29522,161.13,3.0494,0.15121,0.25414,0.25044,0.095197,0.17921,0.17961,0.070501,0.15462,0.10135,1.436272866790666
1166.2,0.29398,161.03,3.0457,0.15124,0.25904,0.25045,0.095185,0.17926,0.1796,0.070516,0.15466,0.10137,1.4413063634208823
1175.3,0.29496,161.12,3.02,0.15153,0.26659,0.25026,0.094956,0.17944,0.17949,0.070682,0.15501,0.10153,1.449483243379146
1151.0,0.29738,158.15,3.0549,0.15116,0.27358,0.25041,0.09523,0.1791,0.17962,0.070438,0.15451,0.10128,1.4553354748454663
1178.3,0.29653,160.91,3.0594,0.15111,0.27384,0.25042,0.095183,0.17907,0.17964,0.070452,0.1545,0.10129,1.4555049549446482
1172.0,0.30505,161.29,3.0514,0.15124,0.27579,0.25024,0.095124,0.17903,0.17958,0.070538,0.15465,0.10135,1.4575397226181455
1184.3,0.2945,161.91,3.0495,0.15121,0.27793,0.25041,0.095131,0.17919,0.17961,0.070516,0.15464,0.10135,1.459980374268013
1165.7,0.29649,160.18,3.0157,0.15158,0.28031,0.25022,0.094949,0.17945,0.17947,0.070699,0.15505,0.10154,1.4632824444081338
1162.0,0.30478,165.4,3.0386,0.1514,0.28342,0.25032,0.09511,0.17929,0.17955,0.070654,0.15484,0.10148,1.466055154453065
