Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
286.8,1.7484,242.54,1.0,0.20349,0.20348785899865326
286.8,1.7484,242.54,1.0,0.20349,0.20348800861478678
286.8,1.7484,242.55,1.0,0.20349,0.20348842117959076
286.8,1.7484,242.56,1.0,0.20349,0.20348886200234262
286.8,1.7484,242.58,1.0,0.20349,0.2034900875056549
286.8,1.7484,242.59,1.0,0.20349,0.20349024407191663
286.8,1.7484,242.59,1.0,0.20349,0.20349035665219406
286.8,1.7484,242.59,1.0,0.20349,0.2034905033953973
286.8,1.7484,242.59,1.0,0.20349,0.2034905980589462
286.8,1.7484,242.59,1.0,0.20349,0.203490707450786
