param_type,param_name,base,in_l_bound,out_u_bound,in_u_bound,out_l_bound
input,cp_tau_s,10,2.301203678722446,1,3.5861482879084536,0
input,cp_b,10,-1.583992259550711,1,0.99461186248347,0
input,cp_tau_0,10,1.486203708021318,1,2.6454222693490914,0
input,cp_n,10,0.060320028688285184,1,1.2725377773752373,0
input,average_strain,10,-2.0863026812812775,1,-0.5440137609326806,0
output,average_stress,10,1.6730670081301497,1,4.002166061756507,0
output,g39_phi_1,10,-0.2340782426962224,1,-0.18618558251895734,0
output,g39_Phi,10,0.2711443179490783,1,0.27811311597983385,0
output,g39_phi_2,10,0.43405766856385863,1,0.44698738213032396,0
output,g50_phi_1,10,0.16539272676981073,1,0.2672421488256046,0
output,g50_Phi,10,0.3344135368371003,1,0.3426595041391189,0
output,g50_phi_2,10,0.5028912119412436,1,0.5173938594280976,0
output,g138_phi_1,10,-2.207405220253422,1,-0.32239304727950685,0
output,g138_Phi,10,0.4206652318731168,1,0.4317978416383059,0
output,g138_phi_2,10,0.3115631533199129,1,0.36471980272991783,0
output,g164_phi_1,10,-0.7122654342035114,1,-0.4482938926104001,0
output,g164_Phi,10,0.3612744225622063,1,0.38293511792357837,0
output,g164_phi_2,10,0.5284538915976446,1,0.5365584425715301,0
output,g185_phi_1,10,-0.3504996345731802,1,-0.1220818105471793,0
output,g185_Phi,10,0.36430704658160856,1,0.3891660843645325,0
output,g185_phi_2,10,0.4336098433237182,1,0.45819955698116943,0
output,g223_phi_1,10,0.6235800554419949,1,0.6697444547326087,0
output,g223_Phi,10,0.45048005460606005,1,0.47556950212747645,0
output,g223_phi_2,10,-2.514150858627953,1,0.7978489813638356,0
output,g243_phi_1,10,0.37432667414956017,1,0.3897329560154553,0
output,g243_Phi,10,0.3444708719084549,1,0.35326208591631547,0
output,g243_phi_2,10,0.5759610320607507,1,0.5825065263822911,0
output,g238_phi_1,10,-0.11911212685798617,1,-0.08938626586798065,0
output,g238_Phi,10,0.2793703181791082,1,0.3046843659743861,0
output,g238_phi_2,10,0.5274236586820639,1,0.539314518745778,0
