Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g56),Error (g126),Error (g223),Error (g237),Error (g80),Error (g72),Error (g51),Error (g262),Reduced Error
1591.0,0.16744,130.78,2.895,0.23088,0.095464,0.058052,0.1495,0.13442,0.23815,0.098452,0.15992,0.11352,1.2783545708119686
1591.3,0.16758,130.56,2.8929,0.23083,0.095513,0.058114,0.14952,0.13448,0.23813,0.098401,0.15996,0.11352,1.2784707080032822
1596.7,0.16691,131.26,2.8564,0.22839,0.096303,0.059326,0.14989,0.13565,0.23776,0.097682,0.16054,0.11357,1.2791174641455842
1598.8,0.16715,130.9,2.8908,0.23222,0.095556,0.058182,0.14958,0.13456,0.2381,0.098373,0.15998,0.11352,1.2800801310537855
1593.0,0.16745,130.81,2.8518,0.2294,0.096416,0.059478,0.14992,0.13579,0.23772,0.097559,0.16063,0.11358,1.2804952912212277
1589.5,0.16763,130.8,2.8614,0.23029,0.096201,0.059157,0.1498,0.13548,0.23782,0.097775,0.16047,0.11357,1.2805608096197996
1591.0,0.16759,130.77,2.8559,0.23007,0.096322,0.059337,0.14986,0.13565,0.23777,0.097665,0.16056,0.11358,1.2808139720647143
1593.7,0.16737,131.28,2.859,0.23134,0.096246,0.05924,0.14985,0.13556,0.23779,0.097754,0.1605,0.11357,1.2818404761418738
1592.5,0.16765,130.73,2.8438,0.2308,0.096601,0.059748,0.14999,0.13605,0.23765,0.097341,0.16076,0.11359,1.282533362538979
1593.0,0.16745,130.61,2.8518,0.23148,0.09642,0.059475,0.14992,0.13579,0.23772,0.097548,0.16063,0.11358,1.2825701788561281
