Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g207),Error (g95),Error (g14),Error (g287),Error (g240),Error (g262),Error (g101),Error (curve),Error (g72),Reduced Error
319.65,787.11,86.895,2.5602,0.10448,0.14071,0.043246,0.11749,0.22257,0.11725,0.091666,0.21071,0.095867,1.1439961326696233
321.43,786.53,86.961,2.5427,0.10477,0.14079,0.043237,0.1176,0.22269,0.11722,0.092052,0.20997,0.095887,1.1442282543967888
321.42,787.75,86.974,2.5433,0.10479,0.14079,0.043236,0.11761,0.22269,0.11722,0.092069,0.21013,0.095888,1.1444268819935575
321.57,787.56,86.956,2.541,0.10482,0.1408,0.043235,0.11762,0.22271,0.11722,0.092118,0.2101,0.09589,1.1445215954647339
321.25,774.85,86.794,2.5446,0.10451,0.14077,0.043245,0.1175,0.22269,0.11716,0.091703,0.21129,0.095862,1.1447287622366837
319.45,775.0,86.987,2.5631,0.10421,0.14068,0.043251,0.1174,0.22256,0.11719,0.091306,0.21269,0.095843,1.1451311621271523
320.76,796.27,87.177,2.5444,0.10495,0.1408,0.043233,0.11768,0.22267,0.11728,0.092298,0.21091,0.095888,1.1457126060533709
320.77,797.69,87.146,2.5446,0.10497,0.1408,0.043232,0.11768,0.22267,0.11728,0.092327,0.21103,0.095888,1.1458945655251127
322.68,786.6,86.416,2.543,0.10471,0.14077,0.043233,0.11757,0.2227,0.11721,0.091956,0.21245,0.095882,1.1464920120209865
318.83,769.22,86.987,2.5618,0.10414,0.14069,0.043257,0.11737,0.22257,0.11716,0.091217,0.21471,0.095833,1.1469463810068052
