Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (curve),Error (g59),Error (g303),Error (g237),Error (g86),Error (g63),Reduced Error
751.48,178.12,195.56,1.1414,8.2817e-05,0.21927,0.018677,0.027685,0.045533,0.037166,0.34873,0.11617540376569856
757.24,175.86,197.02,1.1229,8.2865e-05,0.22107,0.018672,0.027709,0.045576,0.037372,0.34897,0.1165613459145373
750.5,178.15,195.56,1.1405,8.2539e-05,0.22385,0.018677,0.027687,0.045536,0.037177,0.34873,0.11694309715286487
748.17,121.8,188.51,1.1417,8.0712e-05,0.22611,0.01868,0.027686,0.045541,0.037201,0.34886,0.1173467740027316
748.13,117.14,188.48,1.1401,8.0756e-05,0.22614,0.018681,0.027688,0.045546,0.037223,0.34889,0.11736011428845645
751.47,171.35,195.81,1.1415,8.2799e-05,0.22953,0.018677,0.027686,0.045534,0.037171,0.34872,0.11788665402945542
748.41,121.95,191.82,1.1149,8.0501e-05,0.23041,0.018676,0.027723,0.045606,0.037498,0.34916,0.11817835393897369
749.7,102.01,189.76,1.1426,8.1729e-05,0.23615,0.018684,0.027688,0.045545,0.037214,0.34885,0.11902105964366516
746.2,117.87,186.3,1.1413,8.0438e-05,0.23701,0.018681,0.027684,0.045542,0.037204,0.34892,0.11917225018111492
745.79,122.08,194.48,1.114,8.0835e-05,0.23688,0.018677,0.027727,0.045611,0.037511,0.3491,0.11925049451617664
