Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (curve),Error (g101),Error (g95),Error (g72),Error (g207),Error (g240),Reduced Error
572.77,0.62851,139.2,11.78,0.054595,0.13989,0.11207,0.42106,0.031271,0.13543,0.10927,0.03995,0.2232,1.2667490756066635
568.11,0.67205,136.95,11.622,0.054309,0.13997,0.11203,0.42517,0.031693,0.13487,0.10893,0.040411,0.22302,1.270412229091007
568.1,0.67162,137.17,11.595,0.054374,0.13991,0.11203,0.42609,0.031755,0.13482,0.1089,0.040471,0.223,1.271347987192502
565.35,0.6493,138.49,11.772,0.054476,0.13991,0.11208,0.43733,0.031409,0.13521,0.10915,0.040031,0.22317,1.2827619598416238
577.58,0.60088,140.73,11.739,0.05491,0.13967,0.11206,0.43759,0.031274,0.13557,0.10933,0.039974,0.2232,1.2835758745533696
557.15,0.71675,133.9,11.688,0.053626,0.14044,0.11195,0.4673,0.031396,0.13486,0.10894,0.040393,0.22298,1.311891895206501
557.15,0.71675,133.9,11.948,0.053438,0.14063,0.11204,0.47755,0.031037,0.13514,0.10922,0.039775,0.22318,1.3220115210673709
558.86,0.72337,133.65,11.799,0.053508,0.14058,0.11199,0.47949,0.031246,0.13495,0.10906,0.040145,0.22306,1.3240250932333062
573.53,0.61766,143.39,10.76,0.056124,0.13802,0.11189,0.48133,0.032892,0.13392,0.10795,0.042355,0.22248,1.3269576390101048
554.47,0.71981,133.62,11.946,0.053381,0.14064,0.11203,0.48783,0.031049,0.1351,0.1092,0.039791,0.22318,1.3322071222642682
