Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
449.07,0.50743,98.395,12.421,2.7926e-06,0.064165,0.086887,0.055337,0.12743,0.067615,0.26622,0.6676528000774002
447.54,0.50728,99.169,12.563,2.7923e-06,0.064098,0.086848,0.055369,0.12745,0.067627,0.26869,0.6700824598334131
447.08,0.51022,98.163,12.22,2.8398e-06,0.064292,0.087068,0.055284,0.12731,0.067456,0.26967,0.671089896896706
441.95,0.50559,99.965,12.432,2.7712e-06,0.064179,0.087013,0.055367,0.12729,0.067425,0.26994,0.6712157787981181
442.47,0.51206,99.809,12.522,2.8234e-06,0.064141,0.086971,0.055356,0.12735,0.067477,0.27054,0.6718277600755661
450.09,0.50555,99.179,12.644,2.6584e-06,0.064056,0.08677,0.05538,0.12748,0.067695,0.27062,0.6719927418844958
440.72,0.51406,99.369,12.531,2.7891e-06,0.064144,0.086956,0.055346,0.12735,0.067498,0.27075,0.6720440555149959
441.88,0.51283,99.067,12.431,2.8257e-06,0.064186,0.086981,0.055336,0.12734,0.067481,0.27098,0.6723075148606608
447.48,0.50727,100.02,12.577,2.7924e-06,0.064094,0.086896,0.055379,0.12741,0.067554,0.2711,0.672432996170947
441.85,0.51277,99.843,12.383,2.861e-06,0.064217,0.08707,0.055336,0.12728,0.067374,0.27118,0.6724527227992346
