param_type,param_name,base,out_u_bound,in_l_bound,in_u_bound,out_l_bound
input,cp_tau_s,10,1,1.2977605110991337,3.099266172031917,0
input,cp_b,10,1,0.040602340114073134,1.1942367487238292,0
input,cp_tau_0,10,1,1.8051132864384405,2.6849978763116344,0
input,cp_n,10,1,0.0002604985473903181,1.2808741725572155,0
input,average_strain,10,1,-2.1772371353714233,-0.544211385181842,0
output,average_stress,10,1,2.3910939662706334,3.597420923534393,0
output,g59_phi_1,10,1,0.21950593747285682,0.27815889624466333,0
output,g59_Phi,10,1,0.33057609608772903,0.36374356434456834,0
output,g59_phi_2,10,1,0.6327406553278637,0.6485063777121612,0
output,g63_phi_1,10,1,0.2660669817434102,0.34401873774591274,0
output,g63_Phi,10,1,0.4418678766638016,0.4866571313388806,0
output,g63_phi_2,10,1,0.5746446372497088,0.6152975942927035,0
output,g86_phi_1,10,1,0.31251585566338685,0.32565930980164065,0
output,g86_Phi,10,1,0.25408864691907407,0.28659118343732626,0
output,g86_phi_2,10,1,0.5576755937084334,0.5728832141971627,0
output,g237_phi_1,10,1,0.33154876050752363,0.3367998313481107,0
output,g237_Phi,10,1,0.3340715647407651,0.36206758572739944,0
output,g237_phi_2,10,1,0.6068111469189633,0.6221103603612195,0
output,g303_phi_1,10,1,0.39903305410689777,0.41679023824198896,0
output,g303_Phi,10,1,0.30085624311839365,0.32207450577378394,0
output,g303_phi_2,10,1,0.6451175668065426,0.6668454498840519,0
