Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g238),Error (g39),Error (g138),Error (g243),Error (g164),Error (g50),Error (curve),Error (g185),Error (g223),Reduced Error
643.44,0.56664,130.84,10.042,0.15936,0.12042,0.12138,0.055276,0.14481,0.12175,0.75011,0.075373,0.71402,2.2624978887347895
646.44,0.56804,130.84,10.013,0.15937,0.12042,0.12138,0.055309,0.1448,0.1217,0.74796,0.07543,0.71625,2.2626114733574854
619.23,0.58353,134.4,9.7524,0.15984,0.11986,0.12128,0.055576,0.14437,0.12466,0.63638,0.075231,0.82941,2.2666063858869228
649.83,0.55721,133.18,9.8843,0.15954,0.12025,0.12137,0.055459,0.14455,0.12246,0.70253,0.075417,0.77203,2.2736146446969707
644.16,0.55813,132.22,10.089,0.15934,0.12039,0.12141,0.055249,0.14471,0.12181,0.75862,0.075158,0.7291,2.2857860301678756
629.64,0.55933,133.7,9.7518,0.15983,0.12001,0.12131,0.05557,0.14442,0.12404,0.64546,0.075446,0.84808,2.2941715518391503
634.44,0.55898,133.72,9.7485,0.1598,0.12004,0.12132,0.05558,0.14442,0.1238,0.64874,0.075476,0.84531,2.2944854747287957
636.87,0.61163,122.5,10.001,0.15915,0.12096,0.1214,0.055227,0.14524,0.12007,0.87417,0.076066,0.62614,2.2984233796256137
629.55,0.55843,133.7,9.7518,0.15984,0.12001,0.12131,0.055569,0.14442,0.12405,0.64825,0.075449,0.84958,2.298481183926824
624.54,0.55898,133.39,9.9131,0.1597,0.1201,0.12131,0.055397,0.14457,0.12374,0.7009,0.075217,0.80072,2.3016624725897086
