Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (curve),Error (g86),Error (g63),Error (g59),Reduced Error
1740.1,0.06619,228.42,13.102,0.090193,0.063226,0.29705,0.058105,0.13715,0.066085,0.7118095228306824
1968.3,0.062526,226.45,13.973,0.089408,0.063619,0.30547,0.058231,0.13756,0.065555,0.7198451907974294
1994.9,0.057994,231.78,13.81,0.089648,0.063503,0.30856,0.058569,0.13863,0.065885,0.7247944784833541
1965.4,0.063937,218.15,13.75,0.089125,0.064091,0.31513,0.058358,0.13856,0.06567,0.7309370813538112
1951.0,0.062125,224.65,13.567,0.089476,0.063823,0.32727,0.058534,0.13889,0.065877,0.7438724697106055
1967.5,0.061865,231.25,13.924,0.089611,0.063429,0.33007,0.058306,0.13757,0.06561,0.7445926797531496
1736.4,0.065954,225.27,13.286,0.090038,0.06327,0.3346,0.057896,0.13652,0.065962,0.7482791367457814
1968.8,0.059766,228.58,13.915,0.089542,0.063532,0.33911,0.05833,0.13787,0.06573,0.754116745832487
1438.0,0.062587,226.6,11.21,0.091637,0.062975,0.33231,0.05883,0.1406,0.068186,0.7545341709602376
1407.8,0.062937,226.48,11.155,0.091728,0.06289,0.33432,0.058727,0.1403,0.068255,0.7562225249745991
