Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g95),Error (g14),Error (g262),Error (g287),Error (g72),Error (g101),Error (g240),Error (g207),Reduced Error
0.6428,195.45,838.93,7.9514,442.71,846.11,7.0372,9.7727,1.0854,0.13486,0.058081,0.10581,0.14845,0.22176,0.079111,0.22703,0.11055,2.1710429632203723
0.85428,178.86,838.43,6.3865,442.6,852.07,7.2568,9.7295,1.1064,0.13498,0.058683,0.10606,0.14783,0.22639,0.078255,0.22625,0.10946,2.1942703215528314
0.64366,183.54,838.91,8.5584,442.75,845.72,7.1308,9.7676,1.1255,0.13456,0.057926,0.1059,0.148,0.2175,0.07838,0.22718,0.10975,2.204717261104205
0.63748,181.63,839.1,7.4615,444.41,846.2,7.3875,9.7668,1.1754,0.13536,0.058144,0.10521,0.14881,0.22401,0.079946,0.22703,0.11114,2.265016504988198
0.64202,182.68,838.91,8.2482,442.68,845.7,6.877,9.7742,1.2353,0.13479,0.057896,0.10594,0.1483,0.22014,0.078976,0.22713,0.11027,2.3187781244489796
0.65034,196.53,830.36,9.3419,444.05,845.46,7.7194,9.5548,1.254,0.13381,0.058086,0.10596,0.14713,0.21022,0.076771,0.22712,0.10853,2.321588702810026
0.68656,196.93,841.62,9.3862,444.03,845.08,7.3377,9.7242,1.2561,0.1336,0.058053,0.10652,0.14695,0.21209,0.076256,0.22711,0.10795,2.324640901056863
0.62668,196.37,830.36,9.5686,452.35,830.09,7.748,9.5555,1.3129,0.13378,0.058043,0.10603,0.14706,0.20965,0.0767,0.22725,0.10844,2.379824023555995
0.67556,196.23,838.6,9.3629,443.92,833.2,7.2305,9.5583,1.3142,0.13365,0.05797,0.1065,0.14689,0.21091,0.076497,0.22713,0.10813,2.381904389658334
0.72666,180.81,830.55,9.7879,443.92,846.5,8.0958,9.6405,1.3441,0.13323,0.058214,0.1063,0.14613,0.20654,0.074905,0.22707,0.10661,2.403118604620607
