Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
1999.5,0.13991,122.84,3.7377,0.11254,0.11701,0.10753,0.075784,0.041744,0.14761,0.14514,0.24437,0.38678,1.378507756544059
1994.7,0.13958,122.99,3.7418,0.11255,0.11694,0.10752,0.0757,0.0417,0.14758,0.14511,0.24441,0.38738,1.3788919535504343
1994.7,0.13958,122.99,3.724,0.11255,0.11723,0.10742,0.076057,0.041937,0.14776,0.14524,0.24427,0.38758,1.3800472609311099
1994.3,0.13956,123.01,3.7225,0.11255,0.11726,0.10741,0.076086,0.041958,0.14777,0.14525,0.24426,0.38776,1.380302706608312
1994.7,0.13988,122.57,3.7302,0.11255,0.11712,0.10748,0.075929,0.041827,0.14769,0.14519,0.24432,0.38821,1.3803186418711633
1997.2,0.1399,122.98,3.7687,0.11255,0.11651,0.10771,0.075165,0.041349,0.1473,0.14491,0.24462,0.39063,1.380750115442786
1999.4,0.13896,123.81,3.7532,0.11255,0.11678,0.10759,0.075455,0.041604,0.14745,0.14503,0.24448,0.38992,1.3808639353461878
1998.2,0.14004,123.02,3.7221,0.11254,0.11727,0.10743,0.076118,0.041965,0.14778,0.14526,0.24424,0.38856,1.381166269346033
1996.7,0.14043,122.61,3.7209,0.11254,0.11728,0.10743,0.076149,0.041955,0.1478,0.14526,0.24424,0.3886,1.381260942401192
1996.9,0.14044,122.64,3.7206,0.11254,0.11729,0.10743,0.076155,0.04196,0.1478,0.14527,0.24424,0.38875,1.381423898905803
