Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
1999.0,0.14297,121.9,3.9256,0.11233,0.11446,0.10638,0.072594,0.039902,0.14575,0.14361,0.24555,0.3934,1.3739698698468388
1999.5,0.14271,121.95,3.9274,0.11233,0.11443,0.10639,0.072551,0.039894,0.14572,0.1436,0.24556,0.39402,1.374504219111644
1999.0,0.14324,121.84,3.8816,0.1123,0.11512,0.10623,0.073463,0.040369,0.14623,0.14396,0.24526,0.3916,1.3745232881319955
1999.9,0.14247,122.18,3.9204,0.11232,0.11455,0.10638,0.07268,0.039992,0.1458,0.14366,0.24551,0.39368,1.3745858115965093
1998.6,0.14242,122.34,3.9329,0.11234,0.11435,0.10642,0.072427,0.039861,0.14566,0.14355,0.2456,0.39442,1.374639020628961
1999.5,0.14381,121.95,3.9125,0.11231,0.11466,0.10633,0.072887,0.040037,0.14589,0.14371,0.24546,0.39394,1.3752170813672562
1999.8,0.14312,122.39,3.9055,0.11231,0.11478,0.10633,0.072996,0.040154,0.14596,0.14378,0.24541,0.39384,1.375548401707865
1999.5,0.14383,121.92,3.8783,0.11229,0.11518,0.10621,0.07355,0.040408,0.14627,0.14398,0.24523,0.39259,1.3757032865652357
2000.0,0.14316,122.41,3.9054,0.11231,0.11478,0.10633,0.073001,0.040158,0.14596,0.14378,0.24541,0.39414,1.375865880852126
1999.2,0.14393,121.95,3.8853,0.1123,0.11506,0.10622,0.073419,0.040326,0.14619,0.14392,0.24528,0.39317,1.3758950413885085
