Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (curve),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
561.43,0.509,119.31,11.498,0.087531,0.25973,0.067049,0.064589,0.12757,0.055209,0.6616861490579786
561.38,0.51,118.36,11.612,0.08736,0.26091,0.067244,0.064492,0.12775,0.055225,0.6629770863240226
563.04,0.49559,121.76,11.579,0.087577,0.26143,0.066964,0.064619,0.12737,0.055214,0.6631749131265793
560.63,0.51178,118.21,11.593,0.087377,0.2623,0.06723,0.064499,0.12775,0.055223,0.6643783959047341
560.51,0.51063,118.07,11.693,0.087284,0.26305,0.067333,0.064433,0.12782,0.055236,0.6651485670981863
561.26,0.5113,118.56,11.632,0.087349,0.26379,0.067254,0.064478,0.12775,0.055229,0.6658440035707608
558.4,0.51306,118.3,11.568,0.087426,0.26531,0.067184,0.064524,0.12771,0.055219,0.6673676346754294
558.42,0.51155,118.61,11.591,0.087418,0.26539,0.067188,0.064519,0.12769,0.055221,0.6674302557534658
558.44,0.51003,118.52,11.583,0.087425,0.26568,0.067182,0.064529,0.12769,0.055219,0.6677271595178864
558.43,0.50994,118.51,11.582,0.087425,0.26578,0.067181,0.064529,0.12769,0.055219,0.6678186754114084
