Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (curve),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
414.87,1.0766,97.669,11.478,0.098431,0.36039,0.058299,0.070043,0.11097,0.0537,0.7518315810526972
405.99,1.0893,94.934,11.117,0.097623,0.37398,0.058374,0.070427,0.11092,0.053419,0.7647485516490076
422.61,1.0797,94.661,11.888,0.099009,0.41871,0.058271,0.069271,0.11167,0.053838,0.8107649775735507
423.65,1.1001,94.794,11.914,0.098999,0.42253,0.058278,0.069285,0.11158,0.053838,0.8145128936110073
407.34,1.1223,102.54,11.455,0.098872,0.45462,0.058224,0.070942,0.10982,0.053738,0.846216693888487
360.5,1.0346,86.715,8.4152,0.091985,0.48723,0.059918,0.073659,0.11162,0.052278,0.876688647397966
356.18,1.0454,88.875,8.4031,0.092333,0.52045,0.059669,0.073982,0.11119,0.052321,0.9099399733155563
354.56,1.0334,86.841,8.4739,0.09241,0.5244,0.059666,0.073895,0.11119,0.052284,0.9138411417792546
396.52,1.1612,88.747,11.502,0.098755,0.53976,0.058161,0.070252,0.11091,0.053284,0.9311162899240231
349.25,1.0612,87.553,8.5429,0.09284,0.54789,0.059422,0.074208,0.11067,0.052299,0.9373291530833165
