Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g63),Error (g303),Error (g237),Error (g86),Error (g59),Error (curve),Reduced Error
279.11,2.161,142.54,4.9653,7.6373e-05,0.1285,0.055727,0.10529,0.055698,0.06988,0.45374,0.868827789026196
282.56,2.1673,142.06,5.0786,7.6383e-05,0.1279,0.055965,0.10415,0.055485,0.069771,0.46621,0.8794861236567861
272.61,2.1931,144.95,4.8052,7.504e-05,0.1293,0.055358,0.107,0.055961,0.070236,0.48855,0.9064100456273105
280.18,2.1889,145.46,5.0585,7.7053e-05,0.12792,0.055876,0.10453,0.05553,0.069834,0.49805,0.9117425606065382
287.28,2.1607,142.05,4.8817,7.8237e-05,0.12932,0.055489,0.1067,0.056086,0.069881,0.49636,0.9138291458978911
260.0,2.1976,144.63,5.1079,7.2807e-05,0.12705,0.055956,0.10374,0.055071,0.070179,0.50374,0.9157260135004753
278.0,2.1644,144.4,4.9717,7.4525e-05,0.12835,0.055752,0.10498,0.055588,0.069933,0.50181,0.9164107232576998
271.52,2.2856,145.85,4.9031,7.6053e-05,0.12857,0.055549,0.10603,0.055776,0.070125,0.51963,0.9356735552616439
276.41,2.1935,145.21,4.8285,7.4081e-05,0.12921,0.055416,0.10657,0.055889,0.070175,0.52402,0.941287692448116
270.73,2.2878,147.77,4.7891,7.6932e-05,0.1293,0.055288,0.10763,0.05611,0.070329,0.52374,0.9423955014085416
