Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
590.16,398.51,3.9865,229.56,179.52,82.008,42.271,10.744,0.1225,0.27304,0.13506,0.12169,0.35988,0.021729,0.015936,0.10521,0.15557,1.3106189603914022
590.16,398.51,3.9865,229.56,195.57,82.008,40.931,10.744,0.1223,0.27312,0.13517,0.12091,0.36002,0.021667,0.015841,0.10531,0.15661,1.310947114533523
587.59,396.04,3.9352,226.53,193.8,82.966,41.196,10.744,0.12228,0.27312,0.13513,0.12109,0.36095,0.021676,0.015858,0.10534,0.15659,1.3120328586942986
589.24,398.53,3.9931,231.41,197.74,82.137,40.403,10.744,0.12232,0.27314,0.13521,0.12104,0.36667,0.021642,0.015822,0.10528,0.15669,1.3178134168814633
589.74,398.69,4.0926,221.33,184.7,81.997,42.64,10.768,0.12219,0.27307,0.13492,0.12073,0.37093,0.021811,0.015949,0.1053,0.15563,1.320520945231492
590.17,395.71,4.0546,231.34,183.2,92.032,41.355,10.742,0.12241,0.27291,0.13509,0.12372,0.36816,0.021547,0.015987,0.10536,0.15534,1.3205285180684458
590.55,395.32,4.2279,231.2,198.34,88.362,41.629,10.752,0.12203,0.27274,0.13486,0.12223,0.37079,0.021517,0.016029,0.10556,0.15602,1.3217746053756274
590.1,398.67,4.1996,228.06,219.18,72.605,40.463,10.926,0.12183,0.27324,0.13484,0.11726,0.37922,0.021896,0.015899,0.10516,0.15729,1.3266385152816087
587.05,395.91,3.7905,221.64,181.58,73.516,42.237,10.806,0.12253,0.27343,0.13514,0.11911,0.37946,0.021974,0.015804,0.10499,0.15634,1.3287766572875876
591.17,398.67,3.9087,229.82,195.96,73.978,39.964,10.745,0.1225,0.27347,0.13544,0.11895,0.38253,0.02183,0.015686,0.10504,0.15715,1.332606224082117
