Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
114.12,0.30969,385.47,18.919,0.098136,0.12316,0.2299,0.026112,0.067115,0.11425,0.13656,0.24358,1.0381,2.0769372460928164
147.2,0.30143,362.83,18.497,0.098244,0.12236,0.20075,0.02881,0.065116,0.11356,0.13619,0.24326,1.1233,2.1316413573441526
112.83,0.28899,369.89,19.883,0.097714,0.12372,0.22894,0.026983,0.068642,0.11448,0.13697,0.24337,1.156,2.1968484791576977
145.4,0.32275,369.96,18.354,0.098564,0.12146,0.22026,0.027127,0.064133,0.11328,0.13566,0.24391,1.199,2.223433335993257
95.459,0.30134,378.79,19.846,0.097863,0.12363,0.25542,0.025662,0.069274,0.11484,0.13694,0.24394,1.2143,2.2818463515107092
248.56,1.4541,23.349,1.7904,0.13436,0.13681,0.16426,0.1012,0.064468,0.16352,0.14698,0.24342,1.1486,2.3036470870473726
431.14,1.0253,19.269,1.7728,0.12966,0.13374,0.1412,0.1012,0.057888,0.15482,0.14502,0.24127,1.2148,2.3195948108974784
377.41,1.3119,8.6736,1.5706,0.13212,0.14265,0.15872,0.1194,0.069522,0.16413,0.1506,0.23896,1.1495,2.3256059273819574
118.42,0.39367,362.1,17.878,0.099895,0.11831,0.33304,0.023415,0.061234,0.11349,0.13371,0.2469,1.2001,2.3300781114286533
468.44,1.0616,20.986,1.7492,0.12927,0.13562,0.15114,0.10285,0.059899,0.15586,0.14617,0.24021,1.2112,2.332180067431092
