Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1191.1,0.00010401,221.28,4.2263,0.13873,0.1304,1.0367,0.13141,0.25477,0.17077,1.0134,0.17665,0.1194,3.1721931680455486
964.22,0.00085398,224.71,4.6842,0.13365,0.13018,0.82132,0.13166,0.25859,0.16757,1.2995,0.12849,0.11746,3.188456656052483
181.55,0.0053824,253.43,12.197,0.1083,0.14154,0.78366,0.15552,0.28855,0.17095,1.2735,0.21755,0.1296,3.269212022499835
163.2,0.0055067,257.39,12.129,0.10899,0.14112,0.76668,0.15598,0.28876,0.17066,1.3308,0.19609,0.13021,3.289308318758424
944.48,0.00067736,141.54,4.9567,0.12778,0.13172,0.9107,0.13207,0.25881,0.16601,1.3956,0.10782,0.11603,3.34658319068121
182.74,0.0054227,243.28,12.129,0.10821,0.14161,0.57481,0.15634,0.28862,0.17071,1.3308,0.44791,0.13003,3.3491039423441658
907.53,0.0010939,137.78,5.0106,0.12693,0.13137,0.96901,0.13299,0.25967,0.16559,1.3679,0.10688,0.11587,3.3762532507008323
1162.2,2.8214e-05,244.05,5.2194,0.13082,0.13387,1.8056,0.1274,0.25445,0.17176,0.49754,0.15224,0.11992,3.3936349769344476
941.86,0.00073374,239.21,4.7104,0.13366,0.13058,0.86096,0.13163,0.25894,0.16793,1.4751,0.13514,0.11764,3.4115583152917948
132.86,0.0053501,266.83,11.954,0.11039,0.1403,0.8169,0.15643,0.28887,0.17014,1.4658,0.19057,0.13093,3.470295668751391
