Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1436.2,0.17694,122.75,7.8825,0.06413,0.12895,0.20253,0.09074,0.066947,0.054917,0.6082142367987673
1451.6,0.176,124.76,6.2775,0.060879,0.13059,0.20118,0.094614,0.068273,0.054645,0.6101904998529211
1423.5,0.17928,124.84,6.3826,0.061133,0.13042,0.20186,0.094253,0.068214,0.054657,0.6105388244468724
1436.4,0.17837,124.75,6.3204,0.060986,0.13054,0.20181,0.09446,0.068247,0.054646,0.6106909555676084
1432.9,0.17838,124.32,6.3354,0.061028,0.13051,0.20216,0.094404,0.068233,0.054645,0.6109783595558459
1444.2,0.17718,124.32,6.3515,0.061068,0.13049,0.20225,0.094349,0.068221,0.054645,0.6110214184321059
1413.6,0.18104,124.21,6.3374,0.061033,0.13052,0.20222,0.094395,0.06823,0.054646,0.6110392951869891
1418.9,0.17939,125.11,6.5082,0.061429,0.13022,0.20278,0.093855,0.068128,0.05468,0.6110960049130001
1423.3,0.17909,124.78,6.3916,0.061155,0.13041,0.20248,0.094225,0.068208,0.054658,0.611130140156015
1432.0,0.1779,125.29,6.3959,0.061157,0.13038,0.2026,0.094219,0.068214,0.054662,0.6112326368650721
