Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
921.78,0.44072,217.29,1.6136,0.18806,0.1216,1.0956,0.17364,0.25828,0.18221,0.20495,0.10267,0.12453,2.451522084022442
922.28,0.45525,217.2,1.6158,0.188,0.12154,1.0982,0.17358,0.25827,0.18215,0.20518,0.10265,0.1245,2.454072993804474
922.36,0.45796,218.85,1.6053,0.18826,0.12168,1.1005,0.17374,0.25818,0.18243,0.20452,0.1028,0.12459,2.4567281847396947
903.54,0.44595,213.8,1.6162,0.18799,0.1216,1.1043,0.17367,0.25838,0.18213,0.20524,0.10251,0.12451,2.4603120045461986
919.78,0.45128,223.46,1.6053,0.18831,0.12171,1.1083,0.17381,0.25819,0.18243,0.20462,0.10285,0.1246,2.464850837798147
925.64,0.45995,221.14,1.6028,0.18833,0.12171,1.1136,0.17377,0.25813,0.1825,0.20439,0.10288,0.12461,2.4698742246907703
878.26,0.49955,211.09,1.5947,0.18849,0.12185,1.12,0.17401,0.25824,0.18268,0.20426,0.10263,0.12469,2.4768903817897865
901.0,0.44843,218.27,1.6083,0.18822,0.12172,1.1215,0.17384,0.25832,0.18234,0.20486,0.10265,0.12458,2.4780151011687837
922.85,0.46173,224.11,1.5949,0.18854,0.12183,1.1304,0.17393,0.25807,0.18271,0.204,0.10299,0.12468,2.4871467887552385
878.22,0.49592,214.49,1.5884,0.18867,0.12195,1.1386,0.17414,0.25818,0.18286,0.20394,0.1027,0.12475,2.4958084548466233
