Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1978.2,0.16479,149.31,6.0704,0.13018,0.1009,0.059521,0.033366,0.11069,0.30599,0.13378,0.21853,0.047556,1.1405201168304173
1869.8,0.17542,148.88,6.0208,0.12996,0.10076,0.059944,0.03368,0.1107,0.31745,0.13382,0.21846,0.047344,1.1521177157525357
1870.4,0.17508,148.81,6.0161,0.12995,0.10075,0.059965,0.033693,0.1107,0.31825,0.13382,0.21846,0.047345,1.1529258102905577
1872.2,0.17632,148.08,6.0002,0.12993,0.10067,0.060077,0.033789,0.11068,0.31849,0.13386,0.21844,0.047283,1.1532092430685355
1869.6,0.17516,149.29,6.0208,0.12995,0.10077,0.059943,0.033672,0.11071,0.31898,0.13381,0.21846,0.047363,1.1536567017903971
1869.8,0.17567,149.27,6.0133,0.12992,0.10074,0.059997,0.033713,0.11071,0.31991,0.13382,0.21845,0.047347,1.1546167995504484
1869.0,0.17453,148.89,6.0286,0.12998,0.10079,0.059881,0.03363,0.1107,0.32112,0.13381,0.21847,0.047369,1.1557535436213062
1864.2,0.17588,149.74,5.9393,0.12965,0.10057,0.060446,0.033999,0.11074,0.32216,0.13384,0.21845,0.047321,1.157174196423933
1862.3,0.17745,149.26,5.9396,0.12967,0.10054,0.060466,0.03403,0.11073,0.3223,0.13386,0.21843,0.047276,1.157299539856143
1856.3,0.17743,149.17,5.9566,0.12973,0.10058,0.06036,0.033956,0.11072,0.32242,0.13385,0.21843,0.047291,1.1573426443878372
