Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g164),Error (g185),Error (curve),Error (g238),Error (g223),Error (g50),Error (g138),Error (g39),Error (g243),Reduced Error
81.909,1.1404,10.267,4.6346,0.11719,0.064887,0.88268,0.16657,0.22704,0.15837,0.20186,0.093584,0.076429,1.9886110712387441
81.803,1.1547,10.237,4.6082,0.11708,0.065084,0.88701,0.16659,0.22639,0.15825,0.20183,0.093575,0.076535,1.9923507480200726
80.033,1.1326,10.294,4.5319,0.11735,0.065019,0.8846,0.16667,0.22815,0.15899,0.20206,0.093449,0.076511,1.992803732006539
81.196,1.1691,10.263,4.6112,0.11706,0.064904,0.89269,0.16656,0.22663,0.15776,0.20176,0.093632,0.076423,1.9974343683863927
81.213,1.1376,10.312,4.531,0.11732,0.065117,0.88944,0.16667,0.22793,0.15906,0.20199,0.093458,0.076583,1.9975688749745708
82.693,1.1402,10.231,4.6015,0.11713,0.065246,0.89966,0.16662,0.22633,0.1588,0.20188,0.093517,0.076643,2.005828430559958
79.903,1.1605,10.174,4.5976,0.11702,0.065088,0.90224,0.16661,0.22602,0.15795,0.20189,0.093567,0.0765,2.0068843834648793
81.689,1.101,10.263,4.5444,0.11744,0.065301,0.90135,0.16672,0.22812,0.16005,0.20219,0.093338,0.076699,2.011210876781484
85.017,1.1491,10.419,4.6985,0.11724,0.064549,0.90639,0.16645,0.22761,0.15796,0.20159,0.093725,0.076271,2.0117787981135113
82.1,1.1647,10.292,4.5432,0.11711,0.065233,0.90759,0.16664,0.22679,0.15849,0.20181,0.093536,0.076639,2.0138373808911343
