Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g237),Error (g56),Error (g80),Error (curve),Error (g262),Error (g72),Error (g126),Error (g223),Reduced Error
623.43,0.48062,115.58,6.8626,0.12709,0.093273,0.030418,0.25976,0.55638,0.11456,0.39276,0.028796,0.13274,1.7357854097706764
620.94,0.47786,116.86,6.8571,0.1271,0.09335,0.030339,0.25972,0.53458,0.11455,0.41913,0.028866,0.13278,1.7404208278911968
621.72,0.47787,116.98,6.8501,0.12712,0.093367,0.030396,0.2597,0.53566,0.11455,0.4205,0.02887,0.13279,1.7429583481734194
620.66,0.48377,117.08,6.8377,0.12718,0.093378,0.030536,0.25968,0.55803,0.11456,0.39938,0.028872,0.13278,1.7443968589842374
624.37,0.47977,117.04,6.8762,0.12705,0.093276,0.030281,0.25978,0.54581,0.11456,0.41709,0.028839,0.13272,1.7494020647620399
626.61,0.47824,114.8,6.9206,0.12689,0.093128,0.030101,0.25992,0.56465,0.11457,0.40725,0.028731,0.13264,1.7578711352360175
626.78,0.47815,114.8,6.9213,0.12688,0.093127,0.030098,0.25992,0.56497,0.11457,0.40814,0.028731,0.13264,1.7590790253390423
624.75,0.48397,116.7,6.8452,0.12716,0.093321,0.030567,0.25971,0.58093,0.11456,0.39405,0.028836,0.13275,1.7618806882075515
623.29,0.47451,115.65,6.8995,0.12695,0.093234,0.030114,0.25984,0.55043,0.11456,0.42578,0.0288,0.13271,1.7624238890508277
625.12,0.47462,117.06,6.9017,0.12696,0.093252,0.030079,0.25984,0.53048,0.11456,0.44572,0.028844,0.13271,1.7624442515978802
