Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1388.3,0.18821,123.94,5.0902,0.057231,0.13366,0.17474,0.10119,0.069218,0.05491,0.5909512196980247
1381.9,0.18934,123.82,5.091,0.057239,0.13364,0.17617,0.10116,0.069217,0.054904,0.592332336212092
1382.5,0.18931,123.83,5.146,0.05743,0.13351,0.17686,0.10075,0.069154,0.054882,0.5925817775153315
1378.8,0.18949,123.87,5.2089,0.05765,0.13333,0.17742,0.10028,0.069092,0.054856,0.5926381157355753
1379.4,0.18933,123.92,5.151,0.057449,0.13347,0.17699,0.1007,0.069155,0.054877,0.5926449266243471
1388.0,0.1889,123.48,5.1863,0.057568,0.13346,0.17719,0.10047,0.069096,0.054872,0.5926557407855196
1379.4,0.18909,123.9,5.1456,0.05743,0.13348,0.17721,0.10075,0.069163,0.054878,0.5929062556755502
1381.0,0.18912,124.23,5.2034,0.057629,0.13334,0.1778,0.10033,0.069102,0.054861,0.5930583608739384
1397.9,0.18774,123.49,5.1418,0.057404,0.13362,0.17744,0.10084,0.069136,0.054898,0.593331310412118
1378.9,0.1883,124.72,5.202,0.05762,0.13329,0.17852,0.10035,0.069123,0.05486,0.5937569364859611
