Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g86),Error (g237),Error (g303),Error (curve),Error (g63),Reduced Error
1849.8,0.13626,128.2,4.862,0.069805,0.054999,0.10155,0.05707,0.2147,0.13363,0.6317511911863269
1846.5,0.13772,127.36,4.8615,0.06976,0.054997,0.10147,0.057097,0.21475,0.13371,0.6317775032215764
1846.2,0.13727,127.23,4.8869,0.069734,0.054969,0.1013,0.057175,0.21616,0.13364,0.6329836057535524
1856.5,0.13731,126.93,4.9364,0.069667,0.054921,0.10098,0.057318,0.2209,0.13359,0.6373805098830578
1852.2,0.13769,128.2,4.8309,0.069817,0.055037,0.10173,0.056983,0.2255,0.13375,0.6428246538507769
1845.9,0.13606,127.25,4.8833,0.06976,0.054966,0.10135,0.057154,0.23158,0.13361,0.648415011762889
1848.5,0.13482,127.8,4.8626,0.06982,0.054986,0.10155,0.05707,0.24462,0.13359,0.661642236854735
1846.5,0.13178,133.86,4.6899,0.070238,0.055232,0.10314,0.056451,0.24889,0.13361,0.6675605527657238
1846.5,0.13173,133.92,4.6898,0.07024,0.055233,0.10315,0.056449,0.2494,0.13361,0.6680758761022303
1844.0,0.13196,134.09,4.6821,0.070251,0.055245,0.1032,0.05643,0.25009,0.13362,0.6688400386089873
