Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1974.4,0.17106,150.09,5.6399,0.12888,0.10003,0.062012,0.035244,0.11073,0.33115,0.13399,0.2186,0.047124,1.1677540571455118
1979.0,0.17016,150.49,5.6218,0.12879,0.10001,0.062126,0.035314,0.11074,0.33121,0.13399,0.2186,0.047148,1.1679289188381186
1979.0,0.16983,150.44,5.6163,0.12876,0.10001,0.062157,0.035332,0.11074,0.33156,0.134,0.21861,0.047151,1.1683067410706773
1982.0,0.17016,150.48,5.6248,0.1288,0.10002,0.062107,0.035304,0.11074,0.3319,0.134,0.2186,0.047145,1.1686053050174146
1979.4,0.17055,150.48,5.62,0.12878,0.10001,0.062146,0.035332,0.11074,0.33296,0.134,0.2186,0.047138,1.169708199417343
1978.0,0.17086,150.52,5.5569,0.12853,0.099905,0.062598,0.035644,0.11077,0.33357,0.13404,0.2186,0.047114,1.1707661508910379
1978.8,0.17081,150.48,5.6214,0.12879,0.10001,0.062141,0.035331,0.11074,0.33478,0.134,0.2186,0.047133,1.1715173579840221
1982.0,0.16877,150.55,5.637,0.12883,0.10004,0.061999,0.035213,0.11073,0.33549,0.13398,0.21861,0.047182,1.172079751295418
1914.6,0.17638,150.13,5.613,0.12879,0.099995,0.062252,0.035376,0.11078,0.33698,0.13396,0.21862,0.047081,1.1738396199524197
1991.6,0.1665,151.45,5.8143,0.12944,0.1003,0.060804,0.034374,0.11067,0.33856,0.1339,0.21859,0.047323,1.1739543953745188
