Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
579.62,0.91055,120.44,2.2859,0.059302,0.05930226212543449
579.62,0.91055,120.43,2.2859,0.059303,0.059303315801002225
579.52,0.91077,120.42,2.2859,0.059306,0.05930604991167529
579.59,0.91076,120.44,2.2859,0.059306,0.05930623924373628
579.51,0.91046,120.37,2.2859,0.059314,0.0593144540511667
579.68,0.91076,120.42,2.2859,0.059329,0.05932921096813307
579.6,0.91123,120.44,2.2859,0.059331,0.05933089208279863
579.61,0.91124,120.44,2.2859,0.059334,0.059333750917005046
579.61,0.91113,120.42,2.2859,0.059337,0.059337404471031974
579.58,0.91095,120.39,2.2859,0.059338,0.05933830214827949
