Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
916.29,2.7635,186.24,1.8981,0.0,0.0
915.05,2.7385,189.15,1.8632,0.0,0.0
919.93,2.7425,188.94,1.8796,0.0,0.0
907.98,2.7586,189.23,1.8795,0.0,0.0
917.18,2.7822,191.38,1.9068,0.0,0.0
907.76,2.7284,188.75,1.9193,0.0,0.0
909.48,2.7423,189.29,1.8898,0.0,0.0
897.27,2.7173,189.18,1.91,0.0,0.0
908.97,2.7019,187.08,1.875,0.0,0.0
683.73,3.1904,192.36,2.2023,0.0,0.0
