Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
273.64,163.34,58.475,15.372,2.0656e-05,0.27451,0.038546,0.032849,0.027729,0.41999,0.021044,0.13577874928001954
280.28,164.64,58.612,15.581,2.4101e-05,0.27479,0.038437,0.03289,0.027689,0.42974,0.021057,0.13743291141060607
269.72,159.3,59.023,15.312,2.0264e-05,0.27424,0.038587,0.032804,0.027736,0.43026,0.02102,0.1374416926797465
281.54,169.38,56.983,15.314,1.9564e-05,0.27509,0.038485,0.032925,0.027728,0.44316,0.021092,0.13974703606253303
278.9,164.6,59.425,15.151,2.1714e-05,0.27451,0.038475,0.032847,0.02772,0.44532,0.021004,0.13997912331368753
279.31,167.33,58.741,13.602,2.4159e-05,0.27485,0.038718,0.032675,0.027912,0.4455,0.020908,0.1400935047800395
44.211,0.0013069,12.607,1.1062,7.2493e-11,0.33399,0.062023,0.025202,0.040574,0.36955,0.016006,0.14122418778896054
281.68,172.58,58.119,13.558,2.47e-05,0.27508,0.038764,0.03268,0.027936,0.4527,0.020927,0.1413492624551744
246.92,167.6,59.525,13.515,2.4664e-05,0.27357,0.039377,0.032413,0.028079,0.47057,0.020927,0.14415593511014788
230.75,163.89,61.376,13.519,2.4639e-05,0.27245,0.039741,0.032225,0.028153,0.47982,0.020928,0.14555252431225832
