Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
1177.1,0.30842,149.03,5.576,0.0099427,0.009942720307938028
1177.1,0.30842,149.03,5.576,0.0099427,0.009942720307938028
1177.1,0.30842,149.03,5.576,0.0099427,0.009942720307938028
1177.1,0.30842,149.03,5.576,0.0099427,0.009942720307938028
1177.1,0.30842,149.03,5.576,0.0099427,0.009942720307938028
1177.1,0.30842,149.03,5.576,0.0099427,0.009942720307938028
1177.1,0.30842,149.03,5.576,0.0099427,0.009942720307938028
1177.1,0.30842,149.03,5.576,0.0099427,0.009942720307938028
1177.1,0.30842,149.03,5.576,0.0099427,0.009942720307938028
1177.1,0.30842,149.03,5.576,0.0099427,0.009942720307938028
