Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g72),Error (g207),Error (g101),Error (g287),Error (curve),Error (g95),Error (g240),Error (g14),Reduced Error
1853.0,0.18056,150.26,5.9414,0.12971,0.10078,0.060528,0.03417,0.11081,0.19845,0.1339,0.21847,0.047155,1.0339850247495477
1852.7,0.18056,150.19,5.9426,0.12972,0.10078,0.060519,0.034166,0.11081,0.19856,0.1339,0.21847,0.047154,1.0340832814644738
1849.1,0.18057,150.24,5.9454,0.12973,0.10079,0.060494,0.034152,0.11081,0.1994,0.1339,0.21847,0.047159,1.0349114604809797
1849.2,0.18057,150.22,5.9421,0.12972,0.10078,0.060515,0.034165,0.11081,0.19959,0.1339,0.21847,0.047158,1.0351182244687116
1860.0,0.18031,150.34,5.9154,0.1296,0.10073,0.060711,0.034276,0.11083,0.19961,0.13391,0.21847,0.047149,1.0352769249457057
1848.1,0.18033,151.07,5.9133,0.12958,0.10074,0.060709,0.034277,0.11085,0.2023,0.13389,0.21848,0.047173,1.038007034909492
1847.6,0.18057,151.06,5.9423,0.12969,0.1008,0.060524,0.034164,0.11083,0.20299,0.13389,0.21847,0.047178,1.0385403471921633
1845.4,0.17996,150.68,5.9742,0.12982,0.10086,0.060283,0.034015,0.1108,0.20329,0.13388,0.21848,0.047201,1.0386359166393613
1848.4,0.18095,150.17,5.8937,0.12954,0.10068,0.060838,0.034365,0.11085,0.20285,0.13391,0.21848,0.047141,1.0386431185257818
1862.8,0.18054,149.69,5.8886,0.12951,0.10065,0.060891,0.034388,0.11084,0.2034,0.13392,0.21847,0.047127,1.039199346323505
