Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
315.68,94.495,75.229,11.936,0.13272,0.11085,0.24934,0.22385,0.036977,0.032745,0.10961,0.0508,0.14325,1.0901376930714726
314.73,87.25,75.405,12.137,0.13282,0.11101,0.24857,0.22417,0.036551,0.032917,0.10994,0.050964,0.14334,1.0902755401445283
314.73,87.057,75.405,12.137,0.13282,0.11101,0.24861,0.22417,0.03655,0.032922,0.10994,0.050966,0.14334,1.0903298303931268
314.76,88.518,75.336,12.144,0.13283,0.11101,0.24885,0.22416,0.036552,0.032896,0.10994,0.050949,0.14338,1.0905564200462137
314.72,87.373,75.372,12.143,0.13282,0.11101,0.24883,0.22417,0.036544,0.032918,0.10995,0.050963,0.14336,1.090567533942049
314.75,86.446,75.358,12.128,0.13281,0.11101,0.24905,0.22416,0.036566,0.032939,0.10993,0.050965,0.14333,1.090764073955052
314.79,87.09,75.369,12.153,0.13283,0.11102,0.24923,0.22419,0.036526,0.032931,0.10996,0.050969,0.14337,1.091022539884602
314.85,87.923,75.298,12.154,0.13283,0.11101,0.2497,0.22418,0.036535,0.03292,0.10996,0.050955,0.14339,1.091481407683047
312.95,87.206,75.791,12.149,0.13286,0.11105,0.2508,0.2242,0.036476,0.032824,0.10993,0.05101,0.14323,1.0923748186366538
314.83,85.534,75.301,12.151,0.13281,0.11103,0.25063,0.2242,0.036526,0.032976,0.10998,0.050979,0.14336,1.0924797605254173
