iteration,cp_lh_0,cp_lh_1,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,807.3167438366468,195.43580766517724,175.81985940133555,10.42099893792591,1.4029545635594476,0.09274193833551163,1.4324752393954885
2,420.38825851208094,541.2702956385356,6.795682578965165,3.791513010515734,0.3678484294771064,0.09741232958358022,0.3988557370197537
3,737.6337757197795,857.5543498389986,64.4608923222501,6.339037707715056,0.633803370906852,0.0933966170754513,0.66353243745809
4,209.28772774287177,990.0314053466585,222.2998460414827,17.09275613809404,1.111238027500914,0.17145087436283782,1.1658125358054603
5,912.9229357208991,492.0386283748307,356.4889160682159,18.33485132756047,2.928568535908644,0.1857899940897051,2.987707327781425
6,369.65506684273646,371.50622828844826,468.85816626195884,2.4577680050593127,2.2234729568713485,0.10392269360726986,2.2565525776453916
7,517.6402577710522,672.6778043217319,383.436016293928,11.975154661831525,2.6076693385143606,0.18391029763710476,2.6662098044232545
8,118.94332089296321,107.54852475544816,285.5393053049694,15.21152290673387,1.3064808269640558,0.15469519635722087,1.355721837309702
9,48.034,744.79,48.561,5.6153,0.5401009134321025,0.1074518292245221,0.5743038929628003
10,252.97,726.09,73.929,3.9813,0.08664219039496511,0.0983463666149036,0.11794681115874442
11,259.82,630.3,90.612,2.6689,0.07336753149240899,0.10301406744766742,0.10615792757700535
12,352.72,979.14,76.235,3.597,0.08930361901162091,0.09969299595062567,0.12103688520598568
13,307.37,901.35,74.54,2.1515,0.12528470203038952,0.10802561976963432,0.15967032476419526
14,335.5,810.47,82.27,2.3282,0.029743003391472917,0.10605438499366925,0.0635011626080997
15,331.85,805.72,85.944,2.5659,0.01840116625376643,0.10414525512385411,0.05155163055882228
16,324.64,795.01,86.187,2.5153,0.01234056427729088,0.10449246809875895,0.045601549904870226
17,319.85,786.76,84.743,2.7518,0.012375063244602167,0.10283111444710258,0.04510722358041175
18,319.65,787.11,86.895,2.5602,0.012219595419034668,0.10412661527232289,0.045364126475071126
