Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g126),Error (g237),Error (g56),Error (curve),Error (g80),Error (g262),Error (g72),Error (g223),Error (g51),Reduced Error
240.51,191.97,63.614,8.1589,0.029579,0.088879,0.024524,0.36247,0.26247,0.11511,0.20618,0.12651,0.12252,1.3382532408438619
235.89,190.59,63.779,8.2172,0.029528,0.088763,0.024171,0.37843,0.26259,0.11514,0.19175,0.12645,0.12249,1.3393171683513128
231.67,191.62,64.363,8.2293,0.029474,0.088656,0.023909,0.39107,0.26269,0.11521,0.1798,0.12646,0.12256,1.3398253027262632
231.13,190.67,64.386,8.2361,0.029482,0.088627,0.023871,0.39364,0.26269,0.11521,0.17824,0.12643,0.12255,1.3407397090673276
233.84,189.6,64.317,8.2228,0.029525,0.088614,0.024003,0.38586,0.26263,0.11517,0.18703,0.12637,0.12249,1.341692172504252
231.52,188.16,64.386,8.2277,0.029532,0.088589,0.023915,0.39465,0.26264,0.11519,0.17938,0.12639,0.12253,1.342808089004981
230.49,190.56,64.401,8.2324,0.029483,0.088635,0.023862,0.39713,0.26269,0.11522,0.17707,0.12646,0.12257,1.343114020453017
231.55,187.49,64.397,8.2279,0.029543,0.088572,0.023915,0.39497,0.26263,0.11518,0.17998,0.12637,0.12252,1.343677430094946
236.23,187.47,63.788,8.1782,0.029608,0.088762,0.024313,0.38672,0.26249,0.11513,0.18932,0.12646,0.12254,1.345328574305528
236.62,187.44,63.705,8.1763,0.029614,0.088783,0.024346,0.38803,0.26247,0.11512,0.18849,0.12647,0.12254,1.3458611028868237
