Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
268.78,54.292,64.076,15.414,3.9673e-05,0.27236,0.037212,0.032654,0.027448,0.3759,0.02039,0.12765897014482586
270.3,57.905,64.038,15.413,3.9965e-05,0.27251,0.037217,0.032686,0.027453,0.38323,0.02041,0.12891736971947435
268.37,184.14,59.684,15.884,2.1769e-05,0.27472,0.039084,0.032684,0.027764,0.40531,0.021096,0.13344251084022513
272.24,47.442,59.654,15.884,2.1391e-05,0.27399,0.036607,0.032948,0.027334,0.4104,0.020424,0.13361700139913418
283.1,6.6859,61.086,4.964,3.8647e-05,0.2847,0.042825,0.028986,0.029873,0.40802,0.018409,0.1354688350738919
264.89,191.14,58.797,15.78,2.065e-05,0.27489,0.039331,0.03263,0.027832,0.41893,0.021158,0.13579535810126928
268.44,71.394,60.377,15.524,2.2924e-05,0.27375,0.037075,0.032914,0.027475,0.42338,0.020487,0.13584728725149148
0.091609,15.551,69.384,15.535,3.5918e-07,0.1675,0.079771,0.058948,0.097037,0.37374,0.044801,0.13696641847819072
0.082433,14.604,69.414,15.353,3.8606e-07,0.16739,0.080073,0.059332,0.097855,0.37255,0.045091,0.13704819373882282
0.084498,9.1665,69.756,15.357,3.6516e-07,0.16739,0.080124,0.059748,0.098984,0.37128,0.045532,0.13717599286455598
