Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
587.83,392.97,40.236,323.13,141.94,116.87,62.097,11.807,0.12207,0.268,0.13083,0.10581,0.3432,0.023373,0.026573,0.10078,0.11752,1.2381585084965088
585.33,394.55,39.573,325.91,141.77,117.0,62.235,11.893,0.12213,0.26794,0.1307,0.10432,0.3465,0.023319,0.026601,0.10067,0.11714,1.2393076105692191
594.47,394.56,39.575,324.92,141.78,117.93,61.929,11.695,0.12207,0.26798,0.13105,0.10677,0.34489,0.023487,0.026555,0.10099,0.11789,1.2416814552694868
594.5,394.75,38.714,324.21,141.98,118.06,61.967,11.692,0.12206,0.268,0.13104,0.10679,0.34598,0.023502,0.026556,0.10104,0.11797,1.2429354499029088
575.95,392.92,38.725,319.24,149.22,117.03,61.626,11.812,0.12181,0.26813,0.13048,0.1063,0.34867,0.023301,0.026427,0.10059,0.11785,1.2435676059104162
576.55,394.56,39.193,332.61,141.8,116.68,61.932,11.699,0.12218,0.26769,0.13076,0.10433,0.35447,0.023295,0.026562,0.10065,0.11706,1.2469868969508895
591.74,394.46,36.176,323.98,141.77,117.9,61.932,11.682,0.12206,0.268,0.13101,0.10637,0.35253,0.023521,0.026564,0.10112,0.11803,1.249207529131991
588.86,394.45,40.378,325.13,141.78,117.2,61.889,11.622,0.12204,0.26793,0.13105,0.10707,0.35244,0.023471,0.026544,0.10091,0.11781,1.2492731150854675
593.18,393.06,38.531,320.44,141.86,118.27,62.295,11.688,0.122,0.26805,0.13101,0.10719,0.35249,0.023507,0.026593,0.10107,0.1181,1.2500068453240265
548.98,395.26,40.753,333.58,147.14,114.56,61.869,11.765,0.12204,0.26762,0.1302,0.10238,0.36231,0.022999,0.026483,0.099988,0.1163,1.2503167020496506
