Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g126),Error (g223),Error (curve),Error (g80),Error (g72),Error (g56),Error (g237),Error (g262),Reduced Error
1659.3,0.20381,153.33,6.2916,0.17334,0.12892,0.5103,0.33054,0.25944,0.10122,0.11706,0.11905,0.13044,1.8703164537486918
1659.3,0.20328,150.93,6.2773,0.17339,0.1289,0.51531,0.3443,0.25936,0.1012,0.11704,0.11907,0.13049,1.8890599971690287
1606.0,0.20834,149.81,6.3371,0.17352,0.12909,0.43742,0.42358,0.25959,0.1013,0.11706,0.11874,0.13071,1.8909946445379033
1600.5,0.21142,151.04,6.169,0.17324,0.12899,0.58906,0.28021,0.25917,0.10126,0.11706,0.1195,0.13019,1.898679850501116
1635.5,0.20494,153.66,6.1558,0.17302,0.12915,0.59398,0.29187,0.25931,0.10119,0.11707,0.11965,0.13,1.9152350525512685
1600.3,0.21114,150.79,6.149,0.1732,0.12901,0.60926,0.27967,0.25914,0.10125,0.11706,0.11959,0.13013,1.9183174539502585
1600.5,0.21112,150.79,6.1478,0.1732,0.12901,0.61074,0.27939,0.25914,0.10125,0.11706,0.1196,0.13013,1.9195183219438627
1660.0,0.20008,154.05,6.15,0.17292,0.12925,0.59812,0.31234,0.25939,0.10112,0.11706,0.11971,0.12994,1.9398515913923426
1659.6,0.2077,149.57,6.1986,0.17346,0.12866,0.62699,0.28433,0.25892,0.10129,0.11702,0.11939,0.13037,1.9404320008343252
1609.3,0.2097,150.62,6.1357,0.17317,0.12902,0.62433,0.28738,0.25912,0.10124,0.11706,0.11966,0.13009,1.9410648621204696
