Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
810.57,0.53628,169.15,2.3021,0.16296,0.84171,0.2466,0.088594,0.18791,0.17493,0.078884,0.1651,0.10646,2.0531393388849017
817.47,0.53695,169.88,2.2802,0.16328,0.84987,0.24641,0.088758,0.18808,0.17488,0.079051,0.16546,0.1066,2.062384545713202
812.34,0.53269,169.18,2.2962,0.16305,0.85126,0.24657,0.088617,0.18797,0.17491,0.078936,0.1652,0.1065,2.0630052993242898
788.42,0.53726,170.16,2.3985,0.16153,0.85637,0.2477,0.088821,0.1873,0.17507,0.078194,0.16331,0.10585,2.0641505741082553
827.52,0.52565,170.02,2.2914,0.16311,0.85224,0.24646,0.088668,0.18796,0.17491,0.078973,0.1653,0.10652,2.064162400342125
808.94,0.54197,168.35,2.2726,0.16338,0.85474,0.24637,0.088858,0.18816,0.17485,0.079105,0.16556,0.10665,2.067683566735929
817.74,0.53667,169.72,2.3168,0.16274,0.86112,0.24663,0.088551,0.18773,0.17497,0.07876,0.16487,0.10636,2.0717300899229305
819.93,0.52102,169.42,2.3122,0.16282,0.86224,0.2467,0.088485,0.18784,0.17495,0.078827,0.16494,0.1064,2.0731972857848144
815.23,0.52793,169.83,2.2985,0.16302,0.86207,0.2466,0.088554,0.18797,0.17492,0.078927,0.16517,0.10649,2.073719741451098
809.77,0.53686,169.75,2.2782,0.16331,0.86132,0.24646,0.088714,0.18815,0.17487,0.079074,0.16547,0.10662,2.0739860528886895
