Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g238),Error (g39),Error (g138),Error (g243),Error (g164),Error (g50),Error (curve),Error (g185),Error (g223),Reduced Error
637.28,0.62411,134.39,8.7086,0.15892,0.12003,0.12578,0.057177,0.13947,0.1172,0.50061,0.070604,0.27829,1.5680785958541659
637.38,0.62565,135.57,8.725,0.15895,0.11994,0.12576,0.057149,0.13948,0.11756,0.48736,0.070523,0.29269,1.5694054948671279
636.32,0.62715,135.04,8.7381,0.15893,0.11997,0.12572,0.057131,0.13952,0.1174,0.49057,0.070566,0.28973,1.5695362269318793
639.15,0.62724,134.77,8.71,0.15888,0.12004,0.12582,0.057176,0.13944,0.11712,0.49663,0.070576,0.28385,1.5695391840340618
637.54,0.62594,133.79,8.5876,0.15888,0.12017,0.12609,0.057366,0.13916,0.1169,0.51874,0.070576,0.26204,1.5699247773901095
637.28,0.62561,135.56,8.7309,0.15895,0.11993,0.12574,0.05714,0.13949,0.11756,0.48735,0.070527,0.29334,1.570045610029643
631.14,0.63625,132.68,8.5842,0.15885,0.12022,0.12611,0.057377,0.13919,0.11679,0.52758,0.070614,0.25358,1.5703095770954565
638.76,0.61456,135.77,8.673,0.15904,0.11992,0.12585,0.057226,0.13936,0.1178,0.49481,0.070505,0.28594,1.5704473214051082
638.76,0.61406,135.75,8.6746,0.15904,0.11991,0.12584,0.057223,0.13936,0.1178,0.49555,0.070509,0.28583,1.57107190292706
631.96,0.63812,134.32,8.7214,0.15889,0.12001,0.1258,0.057163,0.13949,0.11728,0.49889,0.070569,0.28466,1.57275160024363
