Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
591.73,324.39,41.325,234.41,169.49,116.99,58.741,10.737,0.12176,0.26845,0.13183,0.12215,0.47708,0.023504,0.025799,0.10286,0.12602,1.399461216559064
582.26,334.59,41.556,236.72,156.93,116.29,59.045,10.733,0.122,0.26872,0.13178,0.12001,0.48055,0.023342,0.025689,0.10254,0.12514,1.3997719532047121
588.74,334.62,41.152,234.42,156.76,116.7,58.977,10.631,0.12195,0.26869,0.13202,0.12204,0.48035,0.023466,0.025645,0.10273,0.12533,1.4022156611608003
590.48,289.79,42.449,236.48,157.09,117.1,60.277,10.787,0.12256,0.26894,0.13175,0.11995,0.48618,0.022931,0.025254,0.10189,0.12526,1.4047142324114201
568.9,324.22,42.375,251.08,156.93,116.1,58.611,10.789,0.12217,0.26839,0.13157,0.11816,0.50072,0.02306,0.025824,0.10225,0.12514,1.4172778272571933
583.72,324.76,41.992,234.68,156.62,116.34,61.594,11.013,0.12202,0.2689,0.13122,0.11629,0.51842,0.023171,0.025778,0.10221,0.12483,1.4328440163877025
590.65,324.01,43.451,239.42,169.73,117.08,58.812,10.673,0.12212,0.26854,0.13179,0.1199,0.51607,0.023317,0.025567,0.10232,0.12559,1.435206075504353
584.44,324.76,42.354,234.03,155.96,116.22,61.834,11.046,0.12209,0.269,0.13115,0.11537,0.52414,0.023156,0.02573,0.10209,0.12468,1.4374009770982543
567.52,324.76,42.345,235.91,155.95,116.21,61.823,11.024,0.12212,0.26898,0.13103,0.11393,0.53415,0.023113,0.02572,0.10189,0.12441,1.4453380019074737
595.71,379.69,40.895,223.09,175.42,116.98,57.893,10.819,0.1211,0.26848,0.13164,0.12084,0.52786,0.024188,0.026219,0.10358,0.12593,1.4498354232783197
