iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,55.592,0.56705,30.023,2.8369,4.4273e-07,0.29261696753391275,0.08883444675596593,0.32089385017000427
2,180.95,0.65937,48.629,3.1537,1.3281e-06,0.05446861003343058,0.08425951922153356,0.08128924800673784
3,186.44,0.59391,52.14,3.9982,1.4498e-06,0.16030816484804314,0.07816786077821067,0.18518976771558576
4,227.22,0.66203,47.852,6.7868,4.3185e-07,0.1543087312128759,0.07395400828148066,0.1778490231717891
5,526.78,0.53993,160.28,13.17,2.8826e-05,0.19254759109612374,0.07252583850351883,0.2156332824955628
6,394.63,0.6347,100.23,11.415,5.0534e-06,0.018640414474338923,0.07322527145067563,0.04194874229558066
7,419.82,0.63922,104.2,15.624,3.6958e-06,0.044085951519460265,0.07314459322084467,0.06736859866254699
8,411.59,0.74208,94.82,15.959,8.6255e-06,0.03189333187889939,0.07340817026229082,0.0552598782000495
9,494.02,0.50636,99.313,12.387,4.517e-06,0.021854673641705697,0.07340665792038999,0.04522073856947749
10,433.23,0.5816,101.5,13.052,4.9721e-06,0.017676608123215275,0.07327801437969608,0.04100172454019051
11,455.66,0.58146,102.25,13.326,8.357e-06,0.020183147521467992,0.07336518065182172,0.04353600982460261
12,478.84,0.50816,99.543,11.785,4.3216e-06,0.01956859252716397,0.07334630687993607,0.042915447122117804
13,482.14,0.50125,99.021,11.356,3.9338e-06,0.02439887627541328,0.07331839904003795,0.0477368475290255
14,396.36,0.62104,103.98,9.4116,1.2331e-05,0.056553117688974246,0.07338289716062887,0.07991161933201084
15,472.28,0.50064,97.9,11.869,3.8087e-06,0.017092422534571546,0.07336207250605419,0.04044429548418065
16,460.86,0.51214,97.893,10.864,4.0147e-06,0.017053312213545283,0.07327474726538459,0.040377388675735884
17,437.44,0.5168,99.471,12.45,2.8377e-06,0.015069477127095674,0.07330374495020604,0.03840278383904138
18,445.22,0.51833,98.917,12.488,2.8929e-06,0.01633960481512932,0.07333390737029362,0.03968251252358013
19,302.32,0.50201,75.631,12.165,7.615e-08,0.03518617590835511,0.07307510051162863,0.05844670283508069
